time,AAPL UW Equity,GOOGL UW Equity,GOOG UW Equity,MSFT UW Equity,BRK/B US Equity,AMZN UW Equity,FB UW Equity,JNJ UN Equity,XOM UN Equity,JPM UN Equity,WFC UN Equity,GE UN Equity,T UN Equity,BAC UN Equity,PG UN Equity,WMT UN Equity,CVX UN Equity,V UN Equity,PFE UN Equity,VZ UN Equity,MRK UN Equity,KO UN Equity,HD UN Equity,CMCSA UW Equity,DIS UN Equity,ORCL UN Equity,CSCO UW Equity,PM UN Equity,C UN Equity,IBM UN Equity,INTC UW Equity,UNH UN Equity,PEP UN Equity,MO UN Equity,AMGN UW Equity,MA UN Equity,MMM UN Equity,MDT UN Equity,BA UN Equity,KHC UW Equity,SLB UN Equity,MCD UN Equity,GS UN Equity,ABBV UN Equity,CHTR UW Equity,HON UN Equity,CELG UW Equity,BMY UN Equity,NKE UN Equity,USB UN Equity,LLY UN Equity,UPS UN Equity,WBA UW Equity,GILD UW Equity,UTX UN Equity,AVGO UW Equity,UNP UN Equity,MS UN Equity,RAI UN Equity,PCLN UW Equity,QCOM UW Equity,CVS UN Equity,SBUX UW Equity,ACN UN Equity,AGN UN Equity,TXN UW Equity,ABT UN Equity,LMT UN Equity,DOW UN Equity,TWX UN Equity,COST UW Equity,AXP UN Equity,LOW UN Equity,DD UN Equity,MDLZ UW Equity,CL UN Equity,CB UN Equity,BIIB UW Equity,BLK UN Equity,AIG UN Equity,PNC UN Equity,TMO UN Equity,NEE UN Equity,NFLX UW Equity,DHR UN Equity,ADBE UW Equity,CRM UN Equity,MET UN Equity,NVDA UW Equity,GD UN Equity,COP UN Equity,DUK UN Equity,SCHW UN Equity,FOXA UW Equity,FOX UW Equity,SPG UN Equity,GM UN Equity,EOG UN Equity,CAT UN Equity,PYPL UW Equity,FDX UN Equity,TJX UN Equity,MON UN Equity,BK UN Equity,F UN Equity,SO UN Equity,AMT UN Equity,SYK UN Equity,PRU UN Equity,KMI UN Equity,OXY UN Equity,D UN Equity,KMB UN Equity,ADP UW Equity,ITW UN Equity,AET UN Equity,RTN UN Equity,HAL UN Equity,COF UN Equity,CSX UW Equity
2000/01,4.34,,,59.31,37.76,91.5,,48.47,43.16,54.33,21.88,51.65,49,25.28,59.19,68.94,45.44,,37.56,56.47,74.77,33.44,69.19,17.46,37.49,,57.88,,419.42,124.75,53.31,7.85,38.63,5.7,76.5,,51.88,47.5,48.13,,33.81,43.63,94.38,,,60.09,3.4,66.15,6.69,24.53,71.06,69.75,,2.45,32.94,,11.91,57.59,2.56,415.5,100,20.09,4,,44.94,,16.22,22.25,47.17,164.01,53.13,48.36,14.86,70.24,,33.38,20.88,46.55,18.38,1278.91,48,15.36,22.59,,9.17,16.88,,,4.02,28.75,17.77,50.6,28.67,,,22.9,,4.48,27.56,,47.94,5.2,,43.06,53.02,15.76,44.63,20.33,,,10.85,21.56,64.19,,34.5,,28.38,21.75,48.19,
2000/02,4.28,,,55,34.18,85.94,,43.16,42.44,57.58,20.34,47.71,43.19,24.47,50.44,60.06,42.22,,37.94,55.01,74.18,29.19,61.5,16.5,38.11,,69.5,,408.96,119.75,58.25,8.09,35.13,5.01,75,,48.09,49.94,45.19,,36.94,37.63,94,,,49.59,7.12,62.4,6.06,24.4,66.5,60.5,,2.52,27.31,,10.22,59.09,2.52,372,74,20.72,4.52,,45.75,,16.34,19.38,40.23,122.58,55.19,49.46,12.2,58.54,,30.88,19.38,45.75,21.75,1160.93,48.5,15.42,21.59,,8.38,26.66,,,5.69,24.72,15.77,50.54,28.13,,,22.39,,4.2,22.34,,40.19,4.66,,43.39,48.57,15.76,49.75,17.47,,,9.65,21.22,59.37,,30.88,,22.75,19.88,41.56,
2000/03,5.37,,,57.5,36.66,75.25,,40.97,41,67.17,21.31,54.94,46.44,27.59,44.91,60.75,47.13,,36.94,56.64,62.35,25.91,69.5,13.83,41.94,,82,,435.12,128,72.69,7.46,36.06,5.11,67.88,,47.31,57.88,38.94,,42.19,38.25,128,,,53.69,7.79,57.34,5,23.54,65.94,64,,2.66,32.25,,10.16,80.83,2.31,625.5,81.28,19,5.66,,41.19,,16.11,21.25,39.71,147.31,56.06,45.9,14.97,52.9,,29.19,23.06,53.12,24.75,1241.21,46.63,23.18,24.13,,9.71,29,,,12.5,25.72,17.96,46.29,44.75,,,21.55,,6.02,20.81,,40.81,6.14,,44.65,44.85,14.2,55.5,17.63,,,10.04,19.66,54.89,,32.81,,20.63,22.75,48.81,
2000/04,4.98,,,48.25,39.16,68.63,,42.22,41.56,62,22.75,55.98,49,28.28,36.31,64.94,46.88,,44.25,59.16,68.91,26.19,70,14.42,42.98,,77,,456.48,128,69.53,8.72,38.31,5.47,64.38,,49.13,57.63,41.25,,41.38,39.44,110.81,,,58.1,6.11,64.36,5.73,27.61,78.5,66.94,,2.11,33,,11.58,74.87,2.61,516,76.38,23.41,5.44,,48,,18.01,26.44,41.83,137.3,60.5,46.61,16.81,60.38,,32.63,27.25,36.54,26,1331.96,48.75,18.49,24,,10.98,31.97,,17.19,9.2,29.97,19.01,52.56,40.58,,,23.12,,6.23,22.44,,42.44,6.11,,48.49,54.94,16.98,50.44,18.75,,,10.61,23.47,58.19,,32.5,,23.75,23.22,53,
2000/05,4.51,,,37,39,62.38,,45,41.97,51.33,22.81,55.19,46.94,28.06,33.44,59,47.44,,46.38,53.44,71.34,27.5,57.94,13.06,43.29,,71.88,,442.1,113.63,65.5,9.91,41.13,6.65,65.19,,45.66,57.25,40.19,,42.13,39.94,101.63,,,56.68,6.44,55.68,5.89,26.01,80.5,66.94,,2.21,33.47,,11.48,68.59,3.48,395.25,60,22.75,4.38,,51.31,,19.69,27.31,40.06,120.72,59,47.6,13.17,51.42,,30.38,28.5,24.56,26.5,1384.32,50.44,17.47,25,,11.17,32.75,,20.5,9.83,30,21.94,54.8,31.29,,,24.3,,8.13,20.88,,41.25,5.55,,51.14,52.78,16.29,47.13,19.78,,,11.66,23.75,59.31,,32.69,,25.19,26.13,47.5,
2000/06,4.12,,,41.09,39.5,58.13,,50.94,42.38,54.92,23.88,53.94,50,30.44,33.19,60.06,47.34,,48.13,52.55,72.52,30.44,53.94,13.25,42,,69.56,,471.74,122.31,70.13,11.13,44.44,6.51,70.88,,43.94,51.75,42.25,,39.75,36.31,95.94,,,58.79,8.56,55.44,5.61,27.12,108,62.94,,2.39,32.44,,11.44,73,3.99,309,42.16,22.91,4.94,,54.69,,20,26.25,36.67,115.9,34.69,50.06,12.84,48.09,,29.94,31.44,39.49,36,1385.02,57.5,19.35,25.41,,9.63,33,,21.94,14.67,30.59,21.99,54.31,34.94,,,22.5,,8.72,21.25,,40.19,5.59,,52.73,49.53,15.83,44.88,22.5,,,11.51,22.97,58.48,,30.31,,24.75,25.59,53.75,
2000/07,4.33,,,41.44,38.8,43.94,,50.72,40.56,53.75,22.03,54.75,46.81,24.56,30.41,62.94,43.78,,49.25,50.98,73.23,31.5,58.69,13.25,38.79,,69.75,,502.26,117.75,73.75,11.49,46.19,6.54,80.44,,45.81,55,50.25,,38.59,33.75,106.94,,,37.54,7.34,56.57,5.97,23.11,105,61.5,,2.82,30.88,,11.09,80.52,3.77,251.25,35.47,22.5,5.34,,59.56,,20.22,28.19,33.88,125.05,37.13,52.3,12.11,44.95,,30.13,37.25,41.33,36.38,1482.75,53.94,21.03,27.41,,9.65,35.83,,22.06,12.89,29.97,20.3,56.55,40.44,,,24.07,,8.44,19.28,,43.44,4.67,,54.72,48.63,15.45,47.63,25,,,11,24.16,56.89,,29.97,,24.81,23.72,59.19,
2000/08,4.39,,,37.44,41.48,43.97,,49.44,42.38,56.56,22.91,60.5,44.75,27.47,32.25,57.63,44.84,,46.69,43.86,71.34,32,58.94,13.04,42.24,,70,,549.93,134.25,75.81,11.98,47.06,7.84,76.63,,48.72,57.13,54.88,,44.44,34.19,129.25,,,40.64,9.38,53.72,6.06,24.65,108.94,59,,3.49,32.5,,11.5,90.07,4.66,179.63,33.94,19.91,5.52,,62.38,,20.14,30.56,29.63,120.35,38.06,52.9,12.39,48.15,,28.88,35.94,43.89,41,1511.02,59.75,20.43,27.59,,10.75,33.38,,25.06,13.75,32.41,23.82,66.21,40.44,,,24.02,,9.88,19.75,,41.8,4.77,,57.11,47,18.31,46,23.63,,,10.64,26.94,58.25,,29.75,,29.56,27.38,61.63,
2000/09,4.58,,,36.03,41.72,49.63,,48.91,45.38,58.38,23.56,60.06,50.19,28.78,33.91,54.63,46.16,,45.38,44.71,70.87,28.5,56.19,13.67,40.45,,69.63,,548.77,134.94,75.69,12.64,47.13,7.12,76.63,,47.97,53.25,66.94,,43.84,30.38,133.63,,,41.51,9.5,56.57,5.24,24.65,83.19,57.56,,3.69,36.41,,10.08,91.31,4.63,177.75,39.38,23.47,5.22,,71.25,,21.71,33.6,28,116.02,39.06,54.49,13.63,45,,28.31,40.19,55.3,42.63,1632.49,66.38,23.51,33.56,,10.73,40.5,,27.63,14.23,32.47,26.68,76.31,39.5,,,21.72,,10.22,19.81,,45.04,5.77,,61.61,27.13,21.32,38.5,23.25,,,11.72,29.91,55.77,,29.13,,28.56,27.59,71.69,
2000/10,1.91,,,35.06,42.5,38.44,,48.75,47.72,48.13,24.16,59.94,59,27.38,38.47,48.63,44.47,,46,51.88,85.18,30.47,56.81,14.88,41.38,,59.44,,531.33,119.63,47,14.63,49.25,8.94,72.63,,48.38,54.88,67.81,,43.19,31.5,116.88,,,53.82,9.3,61.75,5.44,22.37,90.5,62.19,,3.46,36.47,,11.73,77.62,4.52,72.38,43.5,27.06,5.61,,67.88,,24.17,37.11,31.13,123.2,36.75,54.98,11.48,44.17,,29.5,41,62.08,43,1674.37,67.88,25.23,34.72,,11.96,42.55,,27.88,14.38,35.84,26.01,78.38,35.63,,,21.04,,10.94,17.97,,47.09,6.86,13,61.61,27,19.76,41.38,24.25,,,10.79,30,65.02,,30.88,,34.75,25.53,73.25,
