time,AAPL UW Equity,GOOGL UW Equity,GOOG UW Equity,MSFT UW Equity,BRK/B US Equity,AMZN UW Equity,FB UW Equity,JNJ UN Equity,XOM UN Equity,JPM UN Equity,WFC UN Equity,GE UN Equity,T UN Equity,BAC UN Equity,PG UN Equity,WMT UN Equity,CVX UN Equity,V UN Equity,PFE UN Equity,VZ UN Equity,MRK UN Equity,KO UN Equity,HD UN Equity,CMCSA UW Equity,DIS UN Equity,ORCL UN Equity,CSCO UW Equity,PM UN Equity,C UN Equity,IBM UN Equity,INTC UW Equity,UNH UN Equity,PEP UN Equity,MO UN Equity,AMGN UW Equity,MA UN Equity,MMM UN Equity,MDT UN Equity,BA UN Equity,KHC UW Equity,SLB UN Equity,MCD UN Equity,GS UN Equity,ABBV UN Equity,CHTR UW Equity,HON UN Equity,CELG UW Equity,BMY UN Equity,NKE UN Equity,USB UN Equity,LLY UN Equity,UPS UN Equity,WBA UW Equity,GILD UW Equity,UTX UN Equity,AVGO UW Equity,UNP UN Equity,MS UN Equity,RAI UN Equity,PCLN UW Equity,QCOM UW Equity,CVS UN Equity,SBUX UW Equity,ACN UN Equity,AGN UN Equity,TXN UW Equity,ABT UN Equity,LMT UN Equity,DOW UN Equity,TWX UN Equity,COST UW Equity,AXP UN Equity,LOW UN Equity,DD UN Equity,MDLZ UW Equity,CL UN Equity,CB UN Equity,BIIB UW Equity,BLK UN Equity,AIG UN Equity,PNC UN Equity,TMO UN Equity,NEE UN Equity,NFLX UW Equity,DHR UN Equity,ADBE UW Equity,CRM UN Equity,MET UN Equity,NVDA UW Equity,GD UN Equity,COP UN Equity,DUK UN Equity,SCHW UN Equity,FOXA UW Equity,FOX UW Equity,SPG UN Equity,GM UN Equity,EOG UN Equity,CAT UN Equity,PYPL UW Equity,FDX UN Equity,TJX UN Equity,MON UN Equity,BK UN Equity,F UN Equity,SO UN Equity,AMT UN Equity,SYK UN Equity,PRU UN Equity,KMI UN Equity,OXY UN Equity,D UN Equity,KMB UN Equity,ADP UW Equity,ITW UN Equity,AET UN Equity,RTN UN Equity,HAL UN Equity,COF UN Equity,CSX UW Equity
2000/01,3.09,,,47.44,32.92,58.44,,40.28,38.28,45.5,17.72,44.35,38.56,22.25,47.41,53.5,40.38,,30.63,49.8,61.28,27.81,54.88,13.58,28.37,,48.63,,345.31,109.63,38.69,6.53,33.25,4.8,57.69,,45.13,33,39.81,,26.75,34.75,78.38,,,44.37,2.29,55.2,5.67,18.92,61.5,59,,1.4,25.75,,9.94,48.67,2.14,288,52.81,16.31,2.89,,33.75,,13.15,18.19,37.79,109.34,41.84,42.45,10.77,55.57,,28.88,15.19,23.03,15,1080.65,40,12.08,20.5,,7.19,13.36,,,2.92,22.69,14.96,41.76,22.71,,,19.64,,3.69,21.22,,38.06,4.02,,36.7,45.45,13.78,28.56,14.58,,,9.23,18.88,57.25,,28.47,,18.19,17.66,39.19,
2000/02,3.46,,,44.06,28.32,63.06,,35.03,34.94,49.71,16,41.67,34.81,21.5,42.5,43.44,35,,31.63,42.46,56.02,23.78,52.63,12.96,31.14,,54.78,,328.74,100.94,48.31,6.31,32.25,4.33,61.5,,40.66,44,35.88,,28.47,30.63,80.69,,,42.01,2.83,52.7,3.31,17.26,56.13,53.56,,1.4,23.78,,8.97,50.01,2.11,291,60.03,17.03,3.8,,38.19,,13.9,17,34.33,95.36,41.88,36.18,10.19,47.02,,23.94,14.81,31.47,17.38,924.27,37.75,13.15,18.19,,7.11,13.78,,,2.98,20.44,13.7,41.15,22.46,,,20.48,,3.42,17.44,,33.19,3.48,,33.39,39.57,13.17,34.31,14.41,,,7.55,18.03,47.82,,25.53,,18.38,16.72,32.06,
2000/03,4.07,,,44.47,27.02,60,,33.09,36,51.42,15.72,42.08,40,21.16,26.5,45.75,36.31,,30,46.72,49.22,21.47,51.69,11.52,32.68,,62.16,,333.1,99.56,56,5.8,29.69,4.4,51.06,,39.09,46,32,,34.72,29.88,93.19,,,40.08,3.47,40.39,3.23,16.15,54,49.5,,1.66,23.25,,8.56,59.35,1.97,354,61,13.91,4.08,,34,,13.2,16.5,30.67,107.24,42.38,34.87,10.27,42.81,,20.25,14.06,25.1,19.75,877.5,36,13.21,18.84,,6.9,19.25,,,4.79,18.13,14.1,39.95,28.21,,,20.26,,3.81,16.75,,30.56,3.63,,31.53,38.67,12.41,41.13,12.22,,,7.64,17.41,39.58,,25.81,,17.5,17.94,33.88,
2000/04,3.75,,,32.5,35.1,40.81,,35,37.5,47.83,18.94,47.71,40.5,24.06,28.38,51.88,41.16,,36.75,52.44,58.56,22.38,55.31,11.17,36.57,,55.06,,390.65,101.25,54.19,7.22,34.63,4.73,50,,42.69,45.25,34.06,,33.41,31.94,79.44,,,50.71,2.9,44.08,4.55,22.25,63.75,55,,1.35,28.03,,9.39,53.75,2.12,292.5,46.13,18.75,3.75,,37.5,,15.83,19.81,33.67,104.64,46.31,38.48,12.38,45.06,,26.41,20,17.08,20.25,1117.65,42,15.36,20.91,,9.04,22.06,,14.31,4.75,24,17.34,45.3,25.67,,,20.87,,5.44,18.5,,36.25,4.34,,41.47,44.85,13.21,38.25,15.56,,,9.47,19.03,50.88,,28,,18.06,18.75,42.31,
2000/05,2.92,,,30.19,33.2,40.44,,40.94,38.5,45.42,19.63,48.81,40.81,23.16,29.41,49.56,42.75,,41.31,44.93,63.18,22.97,44.13,9.31,38.54,,50,,393.26,102,52.56,7.53,36.13,5.09,52.88,,41.63,46.06,36.25,,34.63,35,69.38,,,52.2,3.88,48.3,4.73,22.19,72.88,56.75,,1.52,28.88,,10.14,51.78,2.58,198.38,30,19.72,3.5,,41.06,,16.45,23.25,34.21,95.74,25.94,41.03,10.98,44.77,,25.78,23.44,17.5,22.81,1218.17,41,15.36,22.38,,9.1,25.41,,16.19,6.29,27.28,18.18,48.91,24,,,21.66,,6.22,18.78,,33.25,4.41,,42,45.87,14.43,36.31,17.13,,,10.13,21.38,52.95,,29.03,,21.81,21.53,39.38,
2000/06,2.87,,,31.91,34.4,32.47,,41.25,38.88,44.13,18.69,47.94,43.25,21.5,26.63,51.63,42.28,,42.25,44.37,65.01,25.53,45,11.5,37.25,,57.88,,418.55,105.56,62.06,9.06,39.31,5.34,60,,40.22,46,37.69,,34.53,31,73.63,,,31.94,4.58,47.95,4.35,20.58,71.25,57.5,,1.72,27,,9.28,58.21,3.33,199.88,28.75,17.91,4,,42.88,,17.4,22.44,30.06,100.19,31.25,44.64,10.09,40.97,,26,25.94,20.17,24.06,1257.26,46.38,15.53,23.53,,8.87,28.06,,18.13,9.53,25.97,19.2,48.91,28.31,,,19.92,,7.44,16.91,,33.44,4.55,,45.25,40.83,14.05,37.56,17.78,,,10.07,21.22,50,,27.09,,19.25,22.66,43.5,
2000/07,3.35,,,33.63,34.11,27.88,,45.13,37.56,45.88,19.94,49.5,42.25,21.84,27.06,54.25,38.47,,42.88,38.77,59.63,27.66,48.63,10.17,34.9,,60.88,,422.48,100,64.38,9.77,39.69,5.32,64.75,,41.5,47.5,41.44,,34.38,30.13,88.38,,,33.25,5.22,45.45,4.97,18.98,91.56,57.25,,2.06,27.69,,9.36,69.31,3.11,135.75,25.75,19.47,4.49,,51.19,,17.76,24.06,27.81,102.66,31.19,44.37,10.13,40.73,,25.5,27.13,33.85,28.44,1308.22,47.63,17.04,23.56,,8.56,25.75,,19.81,8.33,25.94,17.84,49.29,31.5,,,20.76,,6.67,16.97,,38,4,,49.09,43.13,14.27,41.38,21.38,,,8.9,21.41,52.06,,27.44,,19.5,20.59,44.63,
2000/08,3.16,,,34.06,36.34,29.31,,45.81,39.97,49.63,20.47,51.19,38.5,23.34,27.69,47.13,38.81,,41.81,35.01,66.13,25.75,48,10.42,37,,58.5,,488.75,110.25,60.44,10.16,41.19,5.84,65,,44.44,48.5,45.31,,37.06,29.69,97,,,33.06,6.13,47.35,4.95,19.72,73,54.88,,2.34,28.41,,9.88,75.07,3.52,137.25,27.41,16.63,4.32,,51.69,,17.59,27.25,26,101.05,31.63,48.8,10.41,42.63,,25.28,31.75,38,31.25,1415.73,51.13,17.2,24.25,,9.23,27,,19.38,9,28.28,19.08,54.31,35.75,,,20.43,,7.38,17.06,,38.38,3.95,,48.69,23.81,14.88,34,20,,,9.35,22.75,53.42,,27.56,,23.81,22.97,54.31,
2000/09,1.81,,,29.31,36.1,35.5,,45.16,40.88,44.63,21.34,55,41.75,25.94,30.03,46.88,40.78,,39.38,37.65,61.52,24.59,48.06,11.25,36.32,,54.63,,478.43,110.25,41.38,11.21,41.31,6.03,64.13,,40.25,46.94,53.75,,38.09,26.38,105.75,,,34.06,6.57,47.59,4.44,21.02,66.63,51.88,,2.81,29.5,,9.38,70.97,3.8,60.38,29,18.25,4.48,,48.13,,18.68,27,23.88,104.89,32.63,48.96,11.19,36.28,,21.25,33.25,40.3,32,1441.91,55,19.62,26.72,,8.83,30.38,,23.38,10.42,30.19,22.49,64.41,30.38,,,20.37,,9,16.25,,38.04,4.7,,52.6,23.88,18.08,27.63,19.31,,,9.98,26,47.06,,25.5,,24.69,22.47,59.69,
2000/10,1.25,,,24.22,35.22,19.38,,45.16,42.88,32.38,19.81,49,48.5,20.13,33.28,41.44,39.53,,41,40.5,68.97,26.88,34.69,12.04,33.05,,45.25,,413.9,87,35,12.16,44.38,6.84,51.39,,41.97,49.25,54,,36.28,27.63,90.88,,,33.19,5.48,52.59,4.37,15.16,79.56,51.25,,2.55,29.94,,9.48,56.66,3.86,24.75,31.56,21.78,4.59,,61.19,,20.89,30.95,23,73.22,29.31,44.31,8.56,37.64,,23.1,32.88,46.75,31.88,1504.74,56.38,20.38,29.69,,9.28,30.73,,23.38,8.76,29.38,22.87,68.83,27,,,19.42,,8.83,14.78,,38.9,5.64,9.88,50.42,23.56,16.75,31.25,19.25,,,9.14,25.38,50.53,,24.75,,26.63,17.09,51.81,
