time,AAPL UW Equity,GOOGL UW Equity,GOOG UW Equity,MSFT UW Equity,BRK/B US Equity,AMZN UW Equity,FB UW Equity,JNJ UN Equity,XOM UN Equity,JPM UN Equity,WFC UN Equity,GE UN Equity,T UN Equity,BAC UN Equity,PG UN Equity,WMT UN Equity,CVX UN Equity,V UN Equity,PFE UN Equity,VZ UN Equity,MRK UN Equity,KO UN Equity,HD UN Equity,CMCSA UW Equity,DIS UN Equity,ORCL UN Equity,CSCO UW Equity,PM UN Equity,C UN Equity,IBM UN Equity,INTC UW Equity,UNH UN Equity,PEP UN Equity,MO UN Equity,AMGN UW Equity,MA UN Equity,MMM UN Equity,MDT UN Equity,BA UN Equity,KHC UW Equity,SLB UN Equity,MCD UN Equity,GS UN Equity,ABBV UN Equity,CHTR UW Equity,HON UN Equity,CELG UW Equity,BMY UN Equity,NKE UN Equity,USB UN Equity,LLY UN Equity,UPS UN Equity,WBA UW Equity,GILD UW Equity,UTX UN Equity,AVGO UW Equity,UNP UN Equity,MS UN Equity,RAI UN Equity,PCLN UW Equity,QCOM UW Equity,CVS UN Equity,SBUX UW Equity,ACN UN Equity,AGN UN Equity,TXN UW Equity,ABT UN Equity,LMT UN Equity,DOW UN Equity,TWX UN Equity,COST UW Equity,AXP UN Equity,LOW UN Equity,DD UN Equity,MDLZ UW Equity,CL UN Equity,CB UN Equity,BIIB UW Equity,BLK UN Equity,AIG UN Equity,PNC UN Equity,TMO UN Equity,NEE UN Equity,NFLX UW Equity,DHR UN Equity,ADBE UW Equity,CRM UN Equity,MET UN Equity,NVDA UW Equity,GD UN Equity,COP UN Equity,DUK UN Equity,SCHW UN Equity,FOXA UW Equity,FOX UW Equity,SPG UN Equity,GM UN Equity,EOG UN Equity,CAT UN Equity,PYPL UW Equity,FDX UN Equity,TJX UN Equity,MON UN Equity,BK UN Equity,F UN Equity,SO UN Equity,AMT UN Equity,SYK UN Equity,PRU UN Equity,KMI UN Equity,OXY UN Equity,D UN Equity,KMB UN Equity,ADP UW Equity,ITW UN Equity,AET UN Equity,RTN UN Equity,HAL UN Equity,COF UN Equity,CSX UW Equity
2000/03,1945,,,5656,5738,573.9,,7319,47780,14795,6421,29925,12553,14138,9783,42985,11531,,7161,14532,8851.4,4391,11112,1938.9,6307,2449.4,4933,,26815,19348,7993,5099,4191,15590,814.1,,4075,1259.3,9910,,2137.4,3343.8,7964,,,6044,14.6,4451,2161.6,2359,2451.1,7220,5608.8,47.7,6390,,2906,11583,1904,313.8,727.7,4739.5,506.7,,177.2,2761,3353.2,5435,7269,8316,7737,5657,4467.1,7593,6460,2241.8,1344.5,27,108.1,10890,1889,576.6,1468,,867.8,282.2,,7607,148.5,2546,4735,7290,1726,,,477.9,,259.3,4919,,4518.1,2108.1,1321,1770,42904,2051.6,,562.1,,,2508,2069,3387.2,1719.7,2405,,4231,2839,1170.5,2034
2000/06,1825,,,5804,5825,577.9,,7670,49479,14479,6678,32727,13191,14243,9661,46112,13049,,6989,16769,9477.1,5621,12618,1912.1,6053,3374.3,5768,,27059,21651,8300,5220,4928,16423,914.4,,4243,1310.4,14841,,2338.3,3560.6,8196,,,6309,19.8,4418,2272.7,1732.3,2621.5,7284,5394.1,50.1,6961,,2966,11712,2053,352.1,713.5,4942.8,557.5,,200.2,2932,3370.2,6070,7586,8908,6894.6,5970,5264.3,7914,6974,2336.7,1318.8,39,112.6,11364,1908,580,1670,,890.8,300.1,,8011,170.4,2617,5331,10926,1736.7,,,487.7,,321.7,5363,,4848.8,2258.2,2007,1887,44499,2522.7,,566.5,,,3128,2051,3464.5,1724.2,2577.4,,4124,2854,1247.3,2071
2000/09,1870,,,5766,7486,637.9,,7438,52178,14754,6925,31901,13422,14921,9969,45676,13345,,7158,16533,10567.5,5543,11545,1960,6034,2288,6519,,28624,21781,8731,5369,6421,15757,949.5,,4270,1361.9,11877,,2447.3,3749,8851,,,6216,22.8,4563,2636.7,1780.5,2811.9,7367,5380.8,45.2,6465,,3054,11726,2089,0,614.7,4916.4,580,,179.3,3149,3317.9,5721,7448,8758,10589.2,5981,4504.1,6445,6215,2366.5,1359.6,42.8,127.7,12225,1901,546.9,2087,,986.8,328.9,,7674,198.2,2502,5109,15284,1680.1,,,493.9,,398.1,4779,,4778.7,2461.4,1003,1892,40055,3197.4,,548.4,,,3805,2344,3529.5,1544.1,2472.3,,4160,3002,1428.2,2039
2000/12,1007,,,6550,10940,972.4,,7298,56646,14922,8916,34864,12239,14470,10182,56556,32219,,8167,16873,11467.2,4733,10463,2407.6,7433,2686,6748,,29328,25616,8702,5434,9939,15506,951.4,,4136,1361.6,14693,,2688.5,3589.6,7989,,,6454,27.3,4784,2198.7,11083.9,2977.7,7900,5614.2,55.3,6767,,2952,9964,2041,228.2,684,5488.8,667.4,2831,254.8,3033,3704.7,7315,7231,10231,7637.3,6067,4543.1,6316,6883,2412.9,1243.8,50.7,128.5,19696,1925,577,1857,,1032.4,355.2,,8426,218.2,2691,5660,14284,1692.6,,,561.3,,502.4,5114,,4894.9,2751.3,1159,1937,42600,2294.3,,612.4,,,3942,2782,3600.8,1639.8,2390.2,6598.4,4380,3193,1578.3,2047
2001/03,1431,,,6403,7853,700.4,,7855,50782,15015,7295,30434,11190,14013,9511,48052,27248,,7584,16266,11345.1,3959,12200,2232,6049,2696,4728,,29804,20309,6677,5680,4700,17982,901.6,,4164,1518.9,13293,,3013.7,3511.7,9502,,,5944,22.4,4589,2170.1,4419.7,2805.7,7435,6429,57.8,6671,,2943,12681,1456,269.7,713.3,5385.9,629.3,2881.7,296.8,2528,3559.9,4747,7386,9117,8306.3,5719,5276.4,6859,7197,2292.6,1554.2,56.5,133.7,13110,1887,573.1,1941,,1005.3,329,,7790,240.9,2673,5290,5553,1532,,,490.7,,596.7,4810,,4838.8,2270.9,1306,1891,42446,2269.5,,634.2,6747,,4475,3198,3323.2,1853.8,2295.8,6428.7,3772,3126,1706.5,2025
2001/06,1475,,,6577,9996,667.6,,8179,49875,12559,5361,31821,11477,13659,9582,52799,29120,,7622,16909,11893.1,4653,14576,2338.7,5960,3291,4298,,27854,20834,6334,5813,5865,16412,986.7,,4073,1455.7,15516,,3634.6,3707.5,8158,,,6066,23.9,4286,2483.3,4091.4,3033.5,7491,6296.2,50.7,7332,,2998,12605,1704,364.8,640,5494.2,662.8,2953.3,299,2037,4099.1,5688,7344,9202,7718.9,5268,6126.7,6997,7473,2238.7,1598.1,64.8,135.3,13405,1812,542.5,2166,,956.6,344.1,,7663,259.9,2962,5334,4127,1328,,,488.3,,430.7,5488,,5116.6,2487.6,2011,1781,42314,2561.8,,639,7168,,3845,2309,3534.2,1853.1,2417.5,6536.4,4307,3310,1763.4,2057
2001/09,1450,,,6126,9228,639.3,,8058,45816,12399,7095,29454,11338,12848,9766,52738,23750,,7824,17004,11919.6,4695,13289,2400.8,5786,2265,4448,,24482,19783,6545,5941,5981,18111,1003.1,,3961,1571.2,13686,,3624.4,3879.3,7360,,,5789,26.2,4500,2613.7,4026.7,2874.4,7398,6283.6,50.9,6920,,3026,10332,1628,302,650.8,5410.8,689.5,2777.7,270.9,1849,4181.2,6221,6729,9068,11134.5,5724,5454.5,5641,7018,2304.9,1531.6,69.6,134.8,14001,1704,512.9,2490,,901.6,292.1,,7818,365,3020,5534,4552,1198,,,500.6,,295,5056,,5037,2741.8,936,1819,36324,3164.5,,619.3,6356,,3285,2544,3373.7,1607.9,2301.2,6185.9,3755,3365,1899.3,2019
2001/12,1375,,,7741,9181,1115.2,,8403,40335,10456,7191,33970,11903,12596,10403,64210,21498,,5994,17011,12557.9,4238,13488,2824.1,7048,2380,4816,,23474,22141,6983,6020,7986,17982,1124.3,,3856,1592.4,15702,,3577.4,3771.5,6118,,,5853,41.7,4612,2336.8,3843,2828.9,8089,6559.4,74.3,6974,,3006,8256,1481,235.3,698.6,5950.5,805.3,3341.3,293.9,1786,4445.1,7334,6346,10632,8466.6,5871,5253.5,5229,7546,2414.4,1959.6,81.7,129.4,18428,1662,559.7,1839,,918.9,264.5,,7989,503.7,3399,6667,3965,1223,,,569.2,,233.9,5096,,5135,3208.7,1209,1600,40711,2159.2,,709.8,6810,,2380,2507,3345.4,1681,2278.3,6042.5,4631,3138,2015.6,2009
2002/03,1495,,,7245,9359,847.4,,8743,37801,10957,6982,30466,10522,11355,9900,52126,19156,,7747,16430,12169.3,4079,14282,2667,5856,2254,4822,,22654,18030,6781,6013,5311,15960,1008.5,,3890,1791.5,13821,,3309.4,3597.4,5700,,,5199,30.7,4674,2260.3,3689.5,2561.1,7579,7488.5,78.4,6374,,2971,8546,1515,261.9,696.1,5970.7,783.2,3328.4,285.7,1827,4189.3,5966,6262,9407,9382.9,5759,6471,6142,7147,2195.2,1538.9,79.7,146.1,14480,1648,491.3,1771,30.5,1004.2,267.9,,7975,582.9,3102,9378,3308,1139,,,494.9,,223.4,4409,,5019,2665.7,1221,1472,39461,2213.6,,702.9,6714,,2525,2634,3330.9,1870,2204.7,5264.7,3911,2989,2175.9,1964
2002/06,1429,,,7253,10030,805.6,,9073,44322,11190,7005,33246,10843,11558,10169,56271,23472,,7296,16752,12809.7,5368,16277,2704,5795,2774,4829,,23601,19651,6319,6078,6119,16520,1249.1,,4161,1713.9,13856,,3388.6,3862.1,6234,,,5651,33.6,4097,2682.2,3819.4,2775.2,7682,7397.9,109.4,7324,,3159,8156,1705,304.5,770.9,5989.5,835.2,3350.7,300.1,2162,4314.9,6290,7259,10203,8616.7,5945,7487.7,6700,7513,2297,1624.7,97.1,156.7,14938,1674,509.1,2128,36.4,1146.3,317.4,,8204,427.3,3506,11585,3617,1127,,,511.5,,287.9,5291,,5416,2765.1,1553,1528,42207,2630.8,,733.9,6564,,3141,2332,3408.9,1845.3,2434.6,5064.2,4095,3207,2409.5,2073
