,hidden_dim,mean_error
1,5,0.1364434376
2,6,0.1361688476
3,7,0.1293009225
4,8,0.1294148773
5,9,0.1282322613
6,10,0.130815381
7,11,0.1221706047
8,12,0.1135706491
9,13,0.1075900732
10,14,0.1089625775
11,15,0.1242865893
12,16,0.1099530177
13,17,0.1061771648
14,18,0.859516925
15,19,0.1262601808
16,20,0.1120705021
17,21,0.1108483548
18,22,0.8604561599
19,23,0.8603998969
20,24,0.8604520129
21,25,0.0902934564
22,26,0.8604529272
23,27,0.8604306892
24,28,0.860455984
25,29,0.8604567443
26,30,0.8604567957
,,0.0902934564
