"","end_price","high_price","low_price","volume","market_capital","dividend_tendency","dividend_rate","PER","PBR","EPS","sales","business_profits","net_profits"
"end_price",1,0.998325049877167,0.997987329959869,-0.674364268779755,0.995412170886993,0.784475326538086,-0.289171427488327,-0.50169974565506,0.253192961215973,0.927907407283783,0.947894155979156,0.924042701721191,0.924641668796539
"high_price",0.998325049877167,1,0.997898399829865,-0.668557703495026,0.993938624858856,0.784163534641266,-0.315288692712784,-0.505883693695068,0.248741075396538,0.932904541492462,0.952810883522034,0.929516851902008,0.930017292499542
"low_price",0.997987329959869,0.997898399829865,1,-0.676418840885162,0.992689669132233,0.787634968757629,-0.280629605054855,-0.496787965297699,0.244948044419289,0.927754282951355,0.948560535907745,0.924010872840881,0.924504280090332
"volume",-0.674364268779755,-0.668557703495026,-0.676418840885162,1,-0.679962038993835,-0.557164430618286,-0.289393186569214,0.253308922052383,0.156463712453842,-0.677481353282928,-0.69489598274231,-0.688570916652679,-0.687538623809814
"market_capital",0.995412170886993,0.993938624858856,0.992689669132233,-0.679962038993835,1,0.769816160202026,-0.466696351766586,-0.515323579311371,0.257027953863144,0.921439945697784,0.944648087024689,0.926973879337311,0.927229762077332
"dividend_tendency",0.784475326538086,0.784163534641266,0.787634968757629,-0.557164430618286,0.769816160202026,1,0.388947397470474,-0.347690314054489,0.00502365920692682,0.649467587471008,0.715680539608002,0.641034841537476,0.641242027282715
"dividend_rate",-0.289171427488327,-0.315288692712784,-0.280629605054855,-0.289393186569214,-0.466696351766586,0.388947397470474,1,-0.485139966011047,-0.551738321781158,-0.0878317132592201,-0.077866442501545,-0.166529804468155,-0.164866477251053
"PER",-0.50169974565506,-0.505883693695068,-0.496787965297699,0.253308922052383,-0.515323579311371,-0.347690314054489,-0.485139966011047,1,-0.413231045007706,-0.466403275728226,-0.488478541374207,-0.47780254483223,-0.477113604545593
"PBR",0.253192961215973,0.248741075396538,0.244948044419289,0.156463712453842,0.257027953863144,0.00502365920692682,-0.551738321781158,-0.413231045007706,1,0.157330960035324,0.16335865855217,0.152835696935654,0.152923434972763
"EPS",0.927907407283783,0.932904541492462,0.927754282951355,-0.677481353282928,0.921439945697784,0.649467587471008,-0.0878317132592201,-0.466403275728226,0.157330960035324,1,0.9929478764534,0.994300067424774,0.994684040546417
"sales",0.947894155979156,0.952810883522034,0.948560535907745,-0.69489598274231,0.944648087024689,0.715680539608002,-0.077866442501545,-0.488478541374207,0.16335865855217,0.9929478764534,1,0.991183876991272,0.991541385650635
"business_profits",0.924042701721191,0.929516851902008,0.924010872840881,-0.688570916652679,0.926973879337311,0.641034841537476,-0.166529804468155,-0.47780254483223,0.152835696935654,0.994300067424774,0.991183876991272,1,0.999820291996002
"net_profits",0.924641668796539,0.930017292499542,0.924504280090332,-0.687538623809814,0.927229762077332,0.641242027282715,-0.164866477251053,-0.477113604545593,0.152923434972763,0.994684040546417,0.991541385650635,0.999820291996002,1
