time,AAPL UW Equity,GOOGL UW Equity,GOOG UW Equity,MSFT UW Equity,BRK/B US Equity,AMZN UW Equity,FB UW Equity,JNJ UN Equity,XOM UN Equity,JPM UN Equity,WFC UN Equity,GE UN Equity,T UN Equity,BAC UN Equity,PG UN Equity,WMT UN Equity,CVX UN Equity,V UN Equity,PFE UN Equity,VZ UN Equity,MRK UN Equity,KO UN Equity,HD UN Equity,CMCSA UW Equity,DIS UN Equity,ORCL UN Equity,CSCO UW Equity,PM UN Equity,C UN Equity,IBM UN Equity,INTC UW Equity,UNH UN Equity,PEP UN Equity,MO UN Equity,AMGN UW Equity,MA UN Equity,MMM UN Equity,MDT UN Equity,BA UN Equity,KHC UW Equity,SLB UN Equity,MCD UN Equity,GS UN Equity,ABBV UN Equity,CHTR UW Equity,HON UN Equity,CELG UW Equity,BMY UN Equity,NKE UN Equity,USB UN Equity,LLY UN Equity,UPS UN Equity,WBA UW Equity,GILD UW Equity,UTX UN Equity,AVGO UW Equity,UNP UN Equity,MS UN Equity,RAI UN Equity,PCLN UW Equity,QCOM UW Equity,CVS UN Equity,SBUX UW Equity,ACN UN Equity,AGN UN Equity,TXN UW Equity,ABT UN Equity,LMT UN Equity,DOW UN Equity,TWX UN Equity,COST UW Equity,AXP UN Equity,LOW UN Equity,DD UN Equity,MDLZ UW Equity,CL UN Equity,CB UN Equity,BIIB UW Equity,BLK UN Equity,AIG UN Equity,PNC UN Equity,TMO UN Equity,NEE UN Equity,NFLX UW Equity,DHR UN Equity,ADBE UW Equity,CRM UN Equity,MET UN Equity,NVDA UW Equity,GD UN Equity,COP UN Equity,DUK UN Equity,SCHW UN Equity,FOXA UW Equity,FOX UW Equity,SPG UN Equity,GM UN Equity,EOG UN Equity,CAT UN Equity,PYPL UW Equity,FDX UN Equity,TJX UN Equity,MON UN Equity,BK UN Equity,F UN Equity,SO UN Equity,AMT UN Equity,SYK UN Equity,PRU UN Equity,KMI UN Equity,OXY UN Equity,D UN Equity,KMB UN Equity,ADP UW Equity,ITW UN Equity,AET UN Equity,RTN UN Equity,HAL UN Equity,COF UN Equity,CSX UW Equity
2000/03,0,,,0.2,,-0.4,,0.5,0.5,1,0.3,0.3,0.6,0.7,0.3,0.3,0.8,,0.3,0.7,0.6,0.2,0.3,-0.1,0.1,0.1,0.1,,7.6,0.8,0.4,0.1,0.3,0.9,0.3,,0.6,0.2,0.4,,0.1,0.3,1.8,,,0.6,0,0.6,0.1,0.5,0.6,0.6,0.2,0,0.4,,0.2,1.3,0.1,-0.5,0.2,0.2,0,,0.4,0.3,0.4,0.1,0.6,0.6,0.4,0.5,0.1,0.9,0.3,0.2,0.6,0,0.3,11.6,1,0.1,0.4,,0.1,0.1,,0.5,0,0.5,0.5,1.6,0.2,,,0.2,,0.1,0.4,,0.4,0.1,0.1,0.5,1.6,0.2,,0.1,,,0.4,0.5,0.8,0.4,0.4,,0.2,0,0.5,0
2000/06,0,,,0.2,,-0.3,,0.4,0.6,0.9,0.3,0.3,0.6,0.6,0.3,0.4,0.9,,0.2,0.7,0.7,0.2,0.4,0.1,0.3,0.2,0.1,,6.5,1.1,0.5,0.1,0.4,1,0.3,,0.6,0.2,0.8,,0.1,0.4,1.5,,,0.8,0,0.5,0.1,0.4,0.6,0.6,0.2,0,0.5,,0.2,1.3,0.1,-0.4,0.1,0.2,0,,0.5,0.3,0.4,0.3,0.7,0.7,0.3,0.5,0.2,0.9,0.4,0.2,0.6,0.1,0.3,12.3,1,0.1,0.6,,0.1,0.1,,0.5,0,0.5,0.9,1.3,0.1,,,0.2,,0.2,0.5,,0.9,0.1,0.5,0.5,2.1,0.4,,0.1,,,0.5,0.3,0.8,0.4,0.5,,0.3,0.1,0.5,0
2000/09,0,,,0.2,,-0.3,,0.4,0.6,0.7,0.2,0.3,0.6,0.7,0.4,0.3,1.2,,0.3,0.7,0.8,0.2,0.3,0.1,0.2,0.1,0.2,,6.7,1.1,0.4,0.1,0.4,1,0.3,,0.6,0.3,0.7,,0.2,0.4,1.6,,,0.8,0,0.6,0.1,0.4,0.7,0.6,0.2,0,0.5,,0.3,1.1,0.1,-0.6,0.1,0.2,0,,0,0.3,0.4,0.3,0.4,0.6,0.4,0.5,0.1,0.5,0.4,0.2,0.6,0.1,0.4,12.2,1,0.2,0.9,,0.1,0.1,,0.3,0.1,0.7,1,2.1,0.1,,,0.2,,0.3,0.3,,0.6,0.1,-0.1,0.5,0.5,1,,0.1,,,0.5,0.6,0.8,0.3,0.4,,0.4,0.1,0.6,0
2000/12,-0.1,,,0.2,,-0.3,,0.3,0.7,0.4,0.2,0.4,0.6,0.4,0.5,0.5,1.1,,0.3,0.4,0.8,0.2,0.2,-0.1,0.2,0.1,0.2,,6.5,1.5,0.4,0.1,0.5,0.9,0.2,,0.6,0.3,1,,0.2,0.3,1.5,,,0.7,0,0.5,0.1,0.4,0.7,0.6,0.2,0,0.4,,0.2,1,0.1,-0.9,0,0.3,0,,0.3,0.3,0.5,0.4,0.2,0.8,0.3,0.5,0.1,0.5,0.3,0.2,0.7,0.1,0.4,17.6,1.1,0.2,0.3,,0.2,0.2,,0.5,0.1,0.5,1.4,1.4,0.1,,,0.4,,0.3,0.4,,0.7,0.1,0.1,0.5,0.6,0.2,,0.2,,,0.5,0.3,0.9,0.4,0.3,0.1,0.6,0.1,0.6,0
2001/03,0,,,0.2,,-0.2,,0.5,0.7,0.7,0.3,0.3,0.5,0.6,0.4,0.3,1.2,,0.3,0.7,0.7,0.2,0.3,-0.4,0.2,0.1,0,,7.1,1,0.2,0.2,0.3,1,0.3,,0.6,0.1,0.9,,0.2,0.3,1.4,,,0.5,0,0.6,0,0.4,0.7,0.5,0.3,0,0.4,,0.2,0.9,0.1,-0.4,0.1,0.3,0,,0.4,0.2,0.5,0.3,0,0.7,0.4,0.4,0.1,0.5,0.3,0.2,0.6,0.1,0.4,14.4,1,0.2,0.4,,0.1,0.2,,0.4,0.1,0.5,1,2.2,0.1,,,0.2,,0.5,0.2,,0.4,0.1,0.1,0.6,0.6,0.3,,0.2,0.5,,0.7,0.6,0.8,0.5,0.3,-0.1,0.3,0.1,0.7,0
2001/06,0,,,0.2,,-0.2,,0.5,0.6,0.3,0,0.4,0.6,0.6,0.3,0.4,1,,0.3,0.8,0.8,0.2,0.4,0,0.2,0.2,0,,7.4,1.2,0.1,0.2,0.4,1,0.3,,0.6,0.3,1,,0.2,0.4,1.1,,,0.6,0,0.5,0.1,0.4,0.8,0.6,0.2,0,0.6,,0.2,0.8,0.2,0.1,-0.1,0.2,0,,0.5,0,0.3,0.3,0.3,-0.5,0.2,0.1,0.2,0.4,0.3,0.2,0.5,0.2,0.4,15.2,1,0.2,0.6,,0.2,0.2,,0.5,0.1,0.6,1.2,1.6,0.1,,,0.2,,0.3,0.4,,0.6,0.1,0.8,0.6,-0.3,0.4,,0.2,0.5,,0.6,0.4,0.8,0.4,0.4,-0.2,0.3,0.2,0.7,0.1
2001/09,0,,,0.2,,-0.2,,0.5,0.5,0.5,0.3,0.3,0.6,0.5,0.5,0.3,0.8,,0.3,0.8,0.8,0.2,0.3,-0.2,0.1,0.1,0.1,,6.2,1,0.1,0.2,0.5,1.1,0.3,,0.6,0.3,0.9,,0.2,0.5,0.9,,,0.4,0,0.6,0.1,0.1,0.7,0.5,0.2,0,0.6,,0.3,0.7,0.2,0.2,0,0.2,0,,0.4,0,0.4,0.4,0.2,0.9,0.4,0.5,0.2,0.1,0.3,0.2,-2,0.2,0.4,11.4,0.8,0.2,1,,0.1,0.1,,0.3,0.1,0.6,0.7,3,0.1,,,0.2,,0.1,0.3,,0.4,0.1,-0.1,0.6,-0.4,0.8,,0.2,0.2,,0.4,0.7,0.8,0.3,0.3,-0.1,0.3,0.2,0.8,0.1
2001/12,0,,,0.2,,0.1,,0.4,0.4,0.1,0.3,0.4,0.3,0.6,0.5,0.5,0.3,,0.3,0.8,0.8,0.2,0.3,-0.1,0.2,0.1,0.1,,6.9,1.5,0.2,0.2,0.4,1,0.3,,0.5,0.3,0.9,,0.2,0.3,0.9,,,0.6,0,0.5,0.1,0.3,0.6,0.6,0.2,0,0.4,,0.3,0.8,0.1,-0.1,0.1,0.1,0,0.3,0.4,-0.1,0.5,0.6,0,1,0.3,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.4,15,1.1,0.3,0.3,,0.1,0.1,,-0.6,0.1,0.7,0.2,1,0.1,,,0.5,,0,0.4,,0.6,0.1,0,0.5,0.6,0.2,,0.2,0.2,,0,0.4,0.8,0.4,0.3,-0.1,0.4,0.2,0.8,0.1
2002/03,0,,,0.2,,0,,0.6,0.3,0.6,0.4,0.4,0.5,0.7,0.4,0.4,0.4,,0.4,0.7,0.7,0.2,0.4,0,0.1,0.1,0.1,,6.7,0.7,0.2,0.2,0.4,1.1,0.3,,0.6,0.3,0.8,,0.2,0.3,1,,,0.5,0,0.5,0.1,0.4,0.6,0.5,0.3,0,0.5,,0.2,0.8,0.2,0.1,0,0.2,0,0.2,0.3,0,0.5,0.5,0.1,0.5,0.4,0.5,0.2,0.6,0.5,0.2,0.7,0.2,0.5,16.2,1.1,0.2,0.5,,0.1,0.1,,0.6,0.2,0.6,-0.1,1.4,0.1,,,0.2,,0,0.1,,0.4,0.1,0.2,0.5,-0.1,0.3,,0.2,0.4,,0.2,0.6,0.9,0.6,0.3,0.1,0.4,0,0.8,0.1
2002/06,0,,,0.2,,0,,0.6,0.4,0.6,0.4,0.4,0.6,0.7,0.4,0.5,0.6,,0.3,0.8,0.8,0.3,0.5,0.1,0.2,0.1,0.1,,7.5,0.8,0.1,0.3,0.5,1.2,0.4,,0.7,0.3,0.9,,0.2,0.4,1.1,,,0.6,0,0.3,0.1,0.5,0.6,0.5,0.3,0,0.6,,0.3,0.7,0.3,0.2,0,0.2,0,0.3,0.4,0.1,0.4,0.6,0.3,0.4,0.3,0.5,0.3,0.7,0.6,0.3,0.9,0.2,0.5,16.8,1.1,0.2,0.7,0,0.2,0.1,,0.5,0,0.7,0.5,1.6,0.1,,,0.8,,0.1,0.3,,0.8,0.1,0.6,0.5,0.3,0.5,,0.2,0.4,,0.3,0.5,0.9,0.5,0.4,0.1,0.5,0,0.9,0.1
