time,AAPL UW Equity,GOOGL UW Equity,GOOG UW Equity,MSFT UW Equity,BRK/B US Equity,AMZN UW Equity,FB UW Equity,JNJ UN Equity,XOM UN Equity,JPM UN Equity,WFC UN Equity,GE UN Equity,T UN Equity,BAC UN Equity,PG UN Equity,WMT UN Equity,CVX UN Equity,V UN Equity,PFE UN Equity,VZ UN Equity,MRK UN Equity,KO UN Equity,HD UN Equity,CMCSA UW Equity,DIS UN Equity,ORCL UN Equity,CSCO UW Equity,PM UN Equity,C UN Equity,IBM UN Equity,INTC UW Equity,UNH UN Equity,PEP UN Equity,MO UN Equity,AMGN UW Equity,MA UN Equity,MMM UN Equity,MDT UN Equity,BA UN Equity,KHC UW Equity,SLB UN Equity,MCD UN Equity,GS UN Equity,ABBV UN Equity,CHTR UW Equity,HON UN Equity,CELG UW Equity,BMY UN Equity,NKE UN Equity,USB UN Equity,LLY UN Equity,UPS UN Equity,WBA UW Equity,GILD UW Equity,UTX UN Equity,AVGO UW Equity,UNP UN Equity,MS UN Equity,RAI UN Equity,PCLN UW Equity,QCOM UW Equity,CVS UN Equity,SBUX UW Equity,ACN UN Equity,AGN UN Equity,TXN UW Equity,ABT UN Equity,LMT UN Equity,DOW UN Equity,TWX UN Equity,COST UW Equity,AXP UN Equity,LOW UN Equity,DD UN Equity,MDLZ UW Equity,CL UN Equity,CB UN Equity,BIIB UW Equity,BLK UN Equity,AIG UN Equity,PNC UN Equity,TMO UN Equity,NEE UN Equity,NFLX UW Equity,DHR UN Equity,ADBE UW Equity,CRM UN Equity,MET UN Equity,NVDA UW Equity,GD UN Equity,COP UN Equity,DUK UN Equity,SCHW UN Equity,FOXA UW Equity,FOX UW Equity,SPG UN Equity,GM UN Equity,EOG UN Equity,CAT UN Equity,PYPL UW Equity,FDX UN Equity,TJX UN Equity,MON UN Equity,BK UN Equity,F UN Equity,SO UN Equity,AMT UN Equity,SYK UN Equity,PRU UN Equity,KMI UN Equity,OXY UN Equity,D UN Equity,KMB UN Equity,ADP UW Equity,ITW UN Equity,AET UN Equity,RTN UN Equity,HAL UN Equity,COF UN Equity,CSX UW Equity
2000/03,5.4,,,14,1.5,915.3,,5.7,4.2,3.1,2.8,11.5,5.1,1.9,7,9.1,3.3,,22.6,5.1,11.2,13,11.5,2.3,3.7,,27,,3.8,10.9,12.2,2.6,7.7,0.7,19,,5.6,13.7,2.8,,5.6,5.3,4.6,,,4.7,7.9,12.3,3.4,2.2,12.6,8,,9.4,4.2,,1.2,4.4,0.3,33.6,20.3,4.2,7.8,,3,,3.1,1.3,2.9,,6,5.7,4.6,4.1,,25.2,1.1,22.9,4.3,4.2,2.3,1.4,1.5,,3.2,20.9,,,16.8,3.1,1.9,1.2,15.2,,,1.5,,2.5,2.5,,2.4,6,,5.9,1.9,1,,9.7,,,2,1.4,5,,3.4,,0.6,4,6,
2000/06,4.2,,,10.2,1.4,507.2,,7.9,4.1,2.4,2.7,11.4,5.2,1.5,7.1,9.2,3,,20.2,3.6,13.1,15.5,8.3,2.5,3.4,,17.1,,3.8,10.2,12.3,3.7,9.5,0.9,20.7,,5.1,12.6,3,,5.4,4.8,3.9,,,2.8,14,12.2,3.4,3.2,20.5,7.3,,10.5,3.9,,1.1,4.4,0.4,202.8,7.7,4.3,6.4,,3.8,,3.8,1.5,2.3,,3.6,5.8,3.1,3.3,,26.8,1.3,24.5,5.8,4.4,2.3,1.3,1.6,,3,25.9,,1.1,20.2,3.1,1.9,1.3,12.2,,,1.4,,3.8,2.1,,2.3,5.3,,6.2,2.1,1,,11.4,,,1.8,1.6,5.2,,3.4,,0.6,4.6,5.3,
2000/09,2.1,,,7.1,1.7,507.2,,7.1,4.5,2.2,3,12,5.6,1.8,8,7.4,2.9,,17.5,3.4,12,13.9,8.5,2.6,3.2,,14.4,,4.4,10.2,7.4,4.3,9.6,1,18.3,,5.6,12.5,4.4,,5.8,4.5,4.3,,,3,15.2,11.6,3.3,3.4,15.1,6.9,,13.7,4.4,,1.1,4.7,0.5,63.4,9.7,4.8,6.6,,4.1,,4,2,1.8,,3.7,6.3,3.2,3.1,,22.2,1.7,32.6,6,5.1,3.1,1.6,2,,2.9,27.7,,1.3,15.4,3.5,2.2,1.9,12.1,,,1.5,,4.1,2.1,,2.5,5.7,,7,2.7,1.4,,10.6,,,1.7,2.1,5.1,,3.2,,0.9,4.7,7.8,
2000/12,1.4,,,5,1.8,507.2,,7.8,4.3,2.1,3.6,9.4,5.3,1.6,9,7.6,2.7,,18.1,3.6,13.8,16.3,7.1,2.7,2.6,,9.4,,3.7,7.4,5.4,5.3,11.4,1.5,15.4,,7.3,13.6,5,,5.5,4.1,3.3,,,3.9,8.1,15,4.5,2.9,17.3,6.9,,11.1,4.8,,1.4,3.9,0.6,63.4,12.4,5.8,6.8,,3.5,,3.9,2,2.8,,4.1,5.5,3.1,3.7,,32.8,1.8,12.3,7.3,4.1,3.3,1.8,2.3,,3.8,18.6,,1.6,5.5,4.1,1.8,1.8,9.3,,,1.6,,5.2,2.9,,2.2,6.4,1,6.6,2.3,1.3,,11.6,,,1.8,2.4,6.2,,3.3,,1,3.9,6.6,
2001/03,2,,,6.1,1.7,507.2,,6.1,3.9,2.1,3.2,8.2,5,1.8,7.2,7.1,2.7,,14.6,3.4,11.1,11.2,6.4,2.6,2.5,,4.4,,3.1,8,4.8,4.9,8.4,1.6,13.5,,6.4,10,3.8,,3.9,3.8,2.5,,,3.4,6.2,11.7,3.2,2.9,13.1,6.8,,9.2,4.5,,1.6,2.6,0.7,7.2,8.2,5.4,12.5,,3.5,,4,2.1,2.7,0.7,3.9,4,3.9,3.1,,39,1.5,7.5,5.8,3.8,3,1.4,1.9,,2.9,11.3,,1.3,9.8,3.1,1.7,1.9,5,,,1.7,,3.5,2.7,,2.1,7.3,1.3,6,3.2,1.4,,11.6,,,1.7,2.3,5.8,,3.1,,0.9,3.9,4.7,
2001/06,2.1,,,8.3,1.8,507.2,,6.7,4.1,2.1,3,9.3,4.3,2,8,6.6,2.6,,14.2,3.7,9.4,10.8,6.5,2.7,2.5,,4.9,,3.6,8.8,5.4,5.3,7.5,1.3,12.7,,7.3,9.6,3.9,,3.7,3.8,2.4,,,3,7.2,10.1,3.2,2.8,12.3,6.6,,17.6,4.2,,1.5,3,0.6,18.9,8.6,3.4,6.5,,3.9,,3.9,2.2,2.8,1,4,3.8,4.6,3.8,,45,1.6,12,5.1,3.9,2.8,1.4,1.8,,2.9,16.4,,1.4,12.6,3.7,1.6,1.5,4.9,,,2,,2.7,3,,2,7.2,1.3,5.6,3.2,2.1,,11.4,,,1.7,2.1,4.7,,3.4,0.4,0.9,3.4,4.6,
2001/09,1.4,,,5.7,1.9,507.2,,7.1,3.7,1.6,2.8,6.9,4.9,1.8,8.8,6.4,2.4,,13.3,3.8,9.3,10.5,5.2,2.3,1.6,,3.3,,2.5,7.2,3.8,5.5,8.9,1.2,12,,6.3,9,2.4,,3.2,3.6,2,,,2.3,6.6,10.8,3.4,2.6,12.3,6,,18,2.6,,1.3,2.2,0.7,5.9,7.4,2.9,4.1,,3.6,,4.2,2.5,2.9,0.6,3.3,2.8,3.8,3,,69.1,1.3,8.3,6.2,3.4,2.5,1.3,1.6,,2.3,8.5,,1.3,6.5,4,1.1,1.4,3.8,,,1.9,,2.2,2.6,,1.8,7.1,1.2,4,2.4,2.1,,10.1,,,1.5,1.9,5.7,,2.8,0.4,1.2,2.1,3.3,
2001/12,1.9,,,6.9,2,507.2,,7.4,3.6,1.8,2.7,7.3,4,2,9,7.3,2.8,,13.7,3.6,7.9,10.3,6.6,2.3,1.8,,4.7,,3,8.9,5.9,5.6,9.9,1.2,11.3,,7.6,10.1,3,,3.8,3.6,2.6,,,3,7.8,12.4,4,2.4,12.4,6,,14,3.6,,1.5,2.5,0.7,8.9,7.6,2.7,4.9,,2,,4.3,3.2,3.1,0.6,4,3.5,5.4,2.8,,63,1.7,10.1,5.5,3.3,2.7,2.2,1.6,,2.9,11.9,,1.4,13.1,3.5,1.3,1.4,5.1,,,2.1,,3,3.2,,2.5,8.1,1.2,4.7,3.6,2.2,,10.9,1,,1.7,1.9,5.7,,3.4,0.5,1.1,1.2,3.5,
2002/03,2.1,,,6,1.8,507.2,,8.3,4.1,1.8,3,6.7,4,2.2,10,7.6,2.8,,12.6,3.6,7.5,12.3,6,2.2,2,,4.4,,2.9,7.7,5.7,6.1,9.9,1.3,12.5,,7.5,8.5,4,,4,3.7,2.4,,,3.3,6.1,9.5,4.2,2.7,11.1,6.6,,15.3,4.1,,1.6,2.5,0.8,7.2,5.5,3,5.6,108.8,1.7,,3.9,3.8,3,0.7,3.5,3.8,4.8,3.2,,101.6,1.8,8.9,5.5,3,2.9,1.8,1.8,,3.1,13.9,,1.5,7.8,4,1.4,1.2,4.2,,,2.4,,3.2,3.4,,2.7,7.8,1.1,4.8,4.1,2.3,,10.4,0.9,,1.9,2,5.5,,3.7,0.8,1.5,1.6,3.8,
2002/06,1.6,,,5.6,1.6,507.2,,7.1,3.7,1.6,2.9,4.9,3.2,2.2,9.6,6.6,2.8,,11.5,3.4,6.4,12.2,4.3,1.6,1.6,,3.6,,2.2,5.7,3.4,7,8.5,1,8.8,,7.5,7.7,3.5,,3.2,3.5,1.9,,,2.8,3.8,5.3,3.7,2.6,8.2,6.5,,13.5,3.5,,1.6,1.8,0.6,3.7,4.1,2.6,5.7,38.4,1.6,,2.7,4.3,3.1,0.4,3.2,3.2,4.7,3.7,,193.1,1.3,5.3,5.1,2.7,2.3,1.4,1.7,3.5,2.8,8.5,,1.3,3,4.3,1.3,1,3.5,,,2.5,,3,2.9,,2.4,7.8,0.8,3.7,2.9,2.3,,8,0.9,,1.9,2.1,5,,3.3,1,1.5,1.6,3.4,
