time,AAPL UW Equity,GOOGL UW Equity,GOOG UW Equity,MSFT UW Equity,BRK/B US Equity,AMZN UW Equity,FB UW Equity,JNJ UN Equity,XOM UN Equity,JPM UN Equity,WFC UN Equity,GE UN Equity,T UN Equity,BAC UN Equity,PG UN Equity,WMT UN Equity,CVX UN Equity,V UN Equity,PFE UN Equity,VZ UN Equity,MRK UN Equity,KO UN Equity,HD UN Equity,CMCSA UW Equity,DIS UN Equity,ORCL UN Equity,CSCO UW Equity,PM UN Equity,C UN Equity,IBM UN Equity,INTC UW Equity,UNH UN Equity,PEP UN Equity,MO UN Equity,AMGN UW Equity,MA UN Equity,MMM UN Equity,MDT UN Equity,BA UN Equity,KHC UW Equity,SLB UN Equity,MCD UN Equity,GS UN Equity,ABBV UN Equity,CHTR UW Equity,HON UN Equity,CELG UW Equity,BMY UN Equity,NKE UN Equity,USB UN Equity,LLY UN Equity,UPS UN Equity,WBA UW Equity,GILD UW Equity,UTX UN Equity,AVGO UW Equity,UNP UN Equity,MS UN Equity,RAI UN Equity,PCLN UW Equity,QCOM UW Equity,CVS UN Equity,SBUX UW Equity,ACN UN Equity,AGN UN Equity,TXN UW Equity,ABT UN Equity,LMT UN Equity,DOW UN Equity,TWX UN Equity,COST UW Equity,AXP UN Equity,LOW UN Equity,DD UN Equity,MDLZ UW Equity,CL UN Equity,CB UN Equity,BIIB UW Equity,BLK UN Equity,AIG UN Equity,PNC UN Equity,TMO UN Equity,NEE UN Equity,NFLX UW Equity,DHR UN Equity,ADBE UW Equity,CRM UN Equity,MET UN Equity,NVDA UW Equity,GD UN Equity,COP UN Equity,DUK UN Equity,SCHW UN Equity,FOXA UW Equity,FOX UW Equity,SPG UN Equity,GM UN Equity,EOG UN Equity,CAT UN Equity,PYPL UW Equity,FDX UN Equity,TJX UN Equity,MON UN Equity,BK UN Equity,F UN Equity,SO UN Equity,AMT UN Equity,SYK UN Equity,PRU UN Equity,KMI UN Equity,OXY UN Equity,D UN Equity,KMB UN Equity,ADP UW Equity,ITW UN Equity,AET UN Equity,RTN UN Equity,HAL UN Equity,COF UN Equity,CSX UW Equity
2000/03,170,,,2696,602,-195.9,,1861,5234,3074,1629,4248,3076,3533,1320,2002,1782,,2106,3731,1998.4,920,1017,41.2,414,769.7,1201,,6161,2133,2616,273,655,3478,352.5,,765,400.1,525,,165.5,739.3,1479,,,836,-8.2,1586,242.8,598.9,795.6,1067,391.2,-4.5,667,,452,2432,197,-16.3,152,334.9,31.4,,62.8,554,805.1,318,642,-364,299.8,920,322.1,1101,929,404.5,264.7,4.1,31.8,1991,476,50.5,237,,117.6,88.3,,475,25.6,306,601,812,531,,,48.5,,79.6,416,,206.5,216.1,,534,2965,427.9,,113.3,,,627,548,591.5,418.3,358.3,,316,61,172.1,174
2000/06,168,,,2537,409,-177.9,,1867,6124,2687,1655,5064,2998,3254,945,2443,2085,,1899,2153,2352.7,1476,1359,-31.6,778,1388.5,1215,,5180,2727,2429,288,809,3752,399.9,,777,454.4,913,,188.9,825.6,1258,,,971,-9.6,1413,205.3,553.9,825.6,1161,312.8,-5.6,878,,542,2295,246,-7.2,217.4,333.9,50,,70.8,645,749.4,431,892,-21,198.7,1046,468.6,1155,1101,438.1,184.8,15.4,34.2,2096,475,53.2,347,,136.7,95.8,,519,29,335,918,794,303.5,,,61.1,,138.3,549,,426.3,191.4,,562,2177,598.2,,112.7,,,646,333,625.9,384.3,446.5,,368,112,181.5,189
2000/09,84,,,2777,466,-151.7,,1741,6179,2103,1372,4621,2846,3404,1779,2064,2495,,2238,4942,2518.2,1327,1054,-56.4,39,658,1411,,5525,2814,2865,309,1098,3964,429.4,,700,443,850,,239.4,850.2,1373,,,941,-5.2,1527,366.4,563.8,1015.4,1141,309.9,-20.8,850,,570,1875,264,0,150.8,284.7,52.1,,-4.9,526,784.7,413,535,-103,329.7,1029,348.1,694,918,441.6,220.6,18.2,36.7,2598,471,32.8,511,,146.8,105.9,,312,36.6,337,944,1094,240.8,,,58.7,,199.6,311,,311,268,-15,576,1430,1038.8,,109.5,,,730,680,653.2,248.1,434.3,,433,138,197,224
2000/12,-420,,,3194,237,-138,,1184,7642,1185,1518,5113,1823,2147,1711,3016,673,,2471,2139,2219.8,1317,759,-114.2,857,946,1269,,4987,3960,2594,330,1440,3485,341.2,,631,440.3,1229,,213,718.2,1200,,,881,-3.9,1446,198.3,3019.9,923.1,1143,257.6,-18.7,745,,339,1889,207,-29.1,89.8,369.2,71.3,869,19.8,615,922.9,498,291,214,212.8,913,263.4,434,1064,508.6,188.3,23,39.5,7358,493,61.8,212,,151,124.2,,607,36.9,351,1394,-421,251.5,,,96.6,,271.1,461,,345.4,212.3,-65,579,1627,339.1,,130.9,,,742,414,659,346.1,335.1,21.1,508,7,206.9,218
2001/03,-8,,,2998,728,-102.3,,2119,7406,2208,1877,4675,2574,2922,1302,2059,4097,,2813,3607,2164.4,1280,1027,-100.5,732,878.1,-2522,,5711,2243,717,365,869,3332,409.3,,737,150.8,1196,,336.1,673.6,1259,,,698,-4.8,1576,168.4,1196.4,999,944,456.9,-25.8,777,,439,1700,197,-13.2,202.9,381.4,44.7,682.2,79.6,229,851.3,350,173,-76,288.4,741,398.9,767,1092,441.5,222.4,23.4,41.7,3813,408,50.7,271,,138.4,115.5,,427,42.1,334,1091,1177,179,,,51.4,,353.4,309,,191.3,204,132,602,1923,475.3,,113.2,876,,967,496,633.3,474.9,296.3,-18.2,308,180,231.6,189
2001/06,42,,,2751,664,-81.2,,2176,6109,1063,-129,5477,2984,3143,-56,2494,3744,,2610,3796,2368,1513,1496,-133.3,883,1294.9,-137,,5840,2521,340,384,1155,4204,449.4,,334,481.8,1345,,54,753.4,946,,,735,-7.7,1184,281.1,1251.7,1047.7,1041,345.5,-33.9,989,,494,1472,267,6.4,136.3,342,64.6,115.6,100,-298,770.5,399,459,276,174.7,153,565,667,1365,469.6,199.4,31.7,42.5,3665,459,37.9,380,,156.6,117.9,,493,44.8,371,1232,823,134,,,59.2,,198.9,458,,223.2,186.5,705,601,-742,584.8,,115,373,,899,518,598.6,474.9,379.9,-17.3,357,243,250.5,265
2001/09,53,,,4137,-1368,-68.9,,2060,4605,1545,1836,4586,2716,2873,1762,2237,2733,,2862,3677,2721.2,1311,1257,-178.2,360,745.8,382,,5165,2097,389,396,1223,4244,461.7,,620,524.6,1117,,428.2,746.6,767,,,599,-12.2,1489,332.7,223.7,893.5,943,338.3,-36.1,822,,574,1172,266,2.9,147.5,220.2,72,-122.6,71.2,-245,744.6,438,341,87,334.4,804,441,114,1176,475.4,-469.8,35.9,42.4,3007,384,38.2,543,,147.6,92.8,,214,61,376,803,1414,115,,,65.4,,64.8,341,,235,250.1,-61,598,-458,997.9,,116.9,-346,,618,780,646.5,289.7,324.6,77.6,-364,316,266.7,282
2001/12,20,,,3286,244,21.8,,1475,3390,273,1925,5541,1950,2484,1864,3274,-1811,,2423,802,2724.2,1248,1152,-334.2,646,819.9,753,,5384,2994,1008,421,1161,3922,413,,494,522.7,1058,,450.5,780.8,724,,,716,-0.3,909,217.7,846.6,789.6,1034,292,-24.9,645,,565,1390,188,-5.9,182.1,-173,86.1,414.3,72.9,-269,858,356,184,340,223.9,627,392.9,184,1267,542.8,44.8,40.2,42.8,7386,590,40.1,236,,129.1,64.3,,131,107.5,405,523,527,126,,,96.7,,-22,203,,317,259.2,5,514,-6777,333,,118.2,-689,,183,96,610.4,409.5,305.3,-78.4,430,238,286.6,221
2002/03,28,,,3257,1368,11.7,,2612,2713,1742,2136,5114,2306,3303,1654,2789,1346,,3081,3291,2142.1,1158,1362,421,603,778.7,874,,5426,1342,1315,482,1037,4171,455.7,,713,619.9,1015,,291.6,641.3,839,,,559,-6.8,1509,201,1290.6,750.9,947,523.4,-6.9,797,,499,1347,297,3.7,99.8,296.5,41.3,388.3,55.9,-44,1044.8,438,286,1164,322.2,845,600,870,1304,460.7,267.7,41.6,49.8,2959,491,45.1,256,-4.1,137.2,69.1,,493,117.2,369,156,668,176,,,53.6,,16.2,170,,237,243.8,187,546,283,517.5,,131.2,300,,354,711,646.2,538.7,309.9,127,353,-3,303.3,212
2002/06,13,,,1230,1612,1.5,,2542,3558,1788,2231,5625,2257,3290,1398,2841,2164,,2493,2686,2408.1,1652,1877,478,743,1226.3,975,,5824,784,653,523,1291,4627,563.1,,686,584.2,1203,,326.6,845.2,901,,,687,-8.1,785,316.5,1334.3,789.6,1028,414.1,19.2,1031,,602,1247,372,5,138.6,298.3,79.2,435,74.8,155,790.8,483,532,1520,220.8,948,792.4,921,1619,517.8,176.5,50,54.5,2767,497,50.7,409,-2.2,169.6,92.9,,532,6.2,423,827,842,172,,,69.4,,67,393,,413,216.8,280,563,1187,658.7,,138.7,-103,,521,625,655.5,435.1,429,209.5,454,-372,343.7,321
