"","x"
"MSFT",1
"JPM",1
"HD",1
"MDT",1
"BMY",1
"TWX",1
"PNC",1
"NFLX",1
"SCHW",1
"CMCSA",2
"DIS",2
"AMGN",2
"HON",2
"CELG",2
"NKE",2
"UPS",2
"GILD",2
"UNP",2
"CVS",2
"SBUX",2
"ABT",2
"COST",2
"DD",2
"TJX",2
"KMB",2
"GOOGL",3
"BRK/B",3
"JNJ",3
"UNH",3
"MO",3
"MMM",3
"RAI",3
"LMT",3
"LOW",3
"TMO",3
"DHR",3
"ADBE",3
"RTN",3
"ABBV",4
"WFC",5
"PEP",5
"BA",5
"USB",5
"CB",5
"NEE",5
"GD",5
"FDX",5
"SYK",5
"D",5
"ITW",5
"AET",5
"AVGO",6
"GOOG",7
"IBM",8
"MCD",8
"MON",8
"GE",9
"T",9
"MS",9
"DOW",9
"BK",9
"COF",9
"CSX",10
"AAPL",11
"PM",11
"QCOM",11
"ACN",11
"AXP",11
"CL",11
"AMT",11
"BAC",12
"PFE",12
"MRK",12
"CSCO",12
"LLY",12
"GM",12
"XOM",13
"CVX",13
"SLB",13
"COP",13
"CAT",13
"OXY",13
"HAL",13
"FB",14
"CHTR",14
"TXN",14
"MDLZ",14
"GS",15
"WMT",16
"VZ",16
"KO",16
"ORCL",16
"INTC",16
"WBA",16
"NVDA",16
"DUK",16
"PYPL",16
"F",16
"KMI",16
"AMZN",17
"MA",17
"PCLN",17
"AGN",17
"BIIB",17
"CRM",17
"KHC",18
"V",19
"MET",19
"FOXA",19
"FOX",19
"PRU",19
"ADP",19
"C",20
"AIG",20
"PG",21
"UTX",21
"BLK",21
"SPG",21
"EOG",21
"SO",21
