time,AAPL UW Equity,GOOGL UW Equity,GOOG UW Equity,MSFT UW Equity,BRK/B US Equity,AMZN UW Equity,FB UW Equity,JNJ UN Equity,XOM UN Equity,JPM UN Equity,WFC UN Equity,GE UN Equity,T UN Equity,BAC UN Equity,PG UN Equity,WMT UN Equity,CVX UN Equity,V UN Equity,PFE UN Equity,VZ UN Equity,MRK UN Equity,KO UN Equity,HD UN Equity,CMCSA UW Equity,DIS UN Equity,ORCL UN Equity,CSCO UW Equity,PM UN Equity,C UN Equity,IBM UN Equity,INTC UW Equity,UNH UN Equity,PEP UN Equity,MO UN Equity,AMGN UW Equity,MA UN Equity,MMM UN Equity,MDT UN Equity,BA UN Equity,KHC UW Equity,SLB UN Equity,MCD UN Equity,GS UN Equity,ABBV UN Equity,CHTR UW Equity,HON UN Equity,CELG UW Equity,BMY UN Equity,NKE UN Equity,USB UN Equity,LLY UN Equity,UPS UN Equity,WBA UW Equity,GILD UW Equity,UTX UN Equity,AVGO UW Equity,UNP UN Equity,MS UN Equity,RAI UN Equity,PCLN UW Equity,QCOM UW Equity,CVS UN Equity,SBUX UW Equity,ACN UN Equity,AGN UN Equity,TXN UW Equity,ABT UN Equity,LMT UN Equity,DOW UN Equity,TWX UN Equity,COST UW Equity,AXP UN Equity,LOW UN Equity,DD UN Equity,MDLZ UW Equity,CL UN Equity,CB UN Equity,BIIB UW Equity,BLK UN Equity,AIG UN Equity,PNC UN Equity,TMO UN Equity,NEE UN Equity,NFLX UW Equity,DHR UN Equity,ADBE UW Equity,CRM UN Equity,MET UN Equity,NVDA UW Equity,GD UN Equity,COP UN Equity,DUK UN Equity,SCHW UN Equity,FOXA UW Equity,FOX UW Equity,SPG UN Equity,GM UN Equity,EOG UN Equity,CAT UN Equity,PYPL UW Equity,FDX UN Equity,TJX UN Equity,MON UN Equity,BK UN Equity,F UN Equity,SO UN Equity,AMT UN Equity,SYK UN Equity,PRU UN Equity,KMI UN Equity,OXY UN Equity,D UN Equity,KMB UN Equity,ADP UW Equity,ITW UN Equity,AET UN Equity,RTN UN Equity,HAL UN Equity,COF UN Equity,CSX UW Equity
2000/01,,,,,,,,1.2665,2,2.0389,1.9625,1.0947,2.2609,3.8194,1.2342,0.3653,2.9678,,0.8431,2.7739,1.5015,1.1143,0.2001,0.027,0.5861,,,,1.0108,0.4189,0.1112,0.0566,1.5678,37.968,,,2.3925,0.3333,1.2638,,1.2282,0.5244,0.3929,,,1.4248,,1.4168,1.0549,1.9646,1.3757,0.5042,,,1.4357,,2,1.0183,9.0182,,,0.6583,,,,,4.6572,4.6933,2.9871,,,0.6238,0.2801,2.4979,,1.0295,2.3746,,,0.2174,3.5833,,4.9304,,0.1836,0.1816,,,,2.0371,,6.5433,0.1553,,,8.7024,,0.7559,3.0044,,,0.8276,,1.4769,4.0173,8.5862,,0.2063,,,5.2452,6.1796,1.7819,,1.1282,,3.5068,1.3889,0.2602,
2000/02,,,,,27.02,60,,1.561,2.2573,2.0597,2.4802,1.1045,2.5658,4.0163,1.4148,0.4108,3.3741,,1.0065,3.5108,1.9222,1.3213,0.196,0.0291,0.6353,,,,1.2064,0.4706,0.1062,0.0587,1.6589,39.6239,,,2.5645,0.3148,1.5186,,1.0152,0.6178,0.3892,,,1.4576,,1.6459,1.6879,2.6332,1.5983,1.2449,,,1.5313,,2.1053,0.9577,8.6111,,,0.6571,,,,,4.6395,5.0466,3.2074,,,0.7662,0.2625,2.9183,,1.1689,2.3497,31.471,,0.2559,4.4459,,5.4369,,0.194,0.098,,,,2.2197,,7.7912,0.1339,,,9.1421,,0.7869,3.6364,,,0.8784,,1.8011,4.8015,9.9164,,0.2222,,,6.4902,7.0324,2.1353,,1.2769,,4.3243,1.3093,0.2898,
2000/03,,,,,35.1,40.813,,1.5986,2.1847,1.881,2.0031,0.9795,2.3214,3.6234,2.2133,0.3784,2.7262,,0.8843,2.8108,1.9388,1.3848,0.2067,0.0282,0.5144,,,,1.0513,0.4068,0.091,0.0503,1.5624,38.4491,,,2.5519,0.2965,1.4761,,0.9804,0.5191,0.3424,,,1.3314,,1.6192,1.2114,2.3212,1.5079,1.0794,,,1.2344,,2.0447,0.8271,13.6765,,,0.6123,,,,,4.3181,3.7676,3.0526,,,0.6903,0.2141,2.7872,,1.082,1.9235,25.1,,0.2124,3.8169,,4.559,,0.1552,0.0898,,,,1.9296,,7.1976,0.0986,,,8.9517,,0.5664,3.233,,,0.631,,1.4436,4.3507,10.1159,,0.1864,,,5.024,6.7122,1.9898,,1.2489,,4.507,1.2195,0.2225,
2000/04,,,,,33.2,40.438,,1.3576,2.1883,2.3729,1.997,0.9666,2.2482,3.8776,2.1468,0.3792,2.9604,,0.7676,2.8997,1.7331,1.3811,0.2378,0.0299,0.4914,,,,1.0853,0.43,0.0946,0.045,1.4719,37.1308,,,2.6127,0.3081,1.411,,0.9796,0.5115,0.5147,,,1.2527,,1.8434,1.105,2.1404,1.2288,1.0226,,,1.2543,,1.8991,1.0045,11.2048,,,0.5287,,,,,4.0692,3.0955,3.0796,,,0.6966,0.2626,3.1067,,1.1028,1.8381,17.079,,0.212,4.0344,,4.6473,,0.1386,0.0827,,,,1.6752,,6.5717,0.1258,,,8.4666,,0.4824,3.2964,,,0.7296,,1.5099,3.7307,8.8229,,0.1809,,,4.8629,5.7333,1.9191,,1.0771,,3.6056,1.1315,0.2438,
2000/05,,,,,34.4,32.469,,1.2961,2.0765,2.2895,1.8564,0.9628,2.2546,3.5096,1.9248,0.3644,2.7694,,0.763,3.2493,1.6424,1.2178,0.2732,0.0299,0.5045,,,,1.0373,0.4566,0.0962,0.0402,1.3272,31.0904,,,2.6589,0.3099,1.4336,,1.0195,0.4084,0.6525,,,1.3149,,1.7555,1.1195,2.0829,1.2874,1.1357,,,1.3237,,1.8907,1.0717,8.3784,,,0.5287,,,,,3.8442,2.6939,3.2504,,,0.6475,0.2792,3.0076,,1.1971,1.641,17.501,,0.2121,3.4938,,4.2828,,0.1643,0.0888,,,,1.6593,,6.4871,0.1299,,,8.769,,0.3692,3.3987,,,0.6705,,1.3209,4.2013,8.4827,,0.1719,,,4.401,5.6393,1.8418,,1.1884,,3.4133,0.9804,0.2258,
2000/06,,,,,34.11,27.875,,1.1387,2.2038,2.4749,2.1677,0.956,2.2775,4.5349,2.2358,0.3818,3.0184,,0.7083,3.3812,1.5995,1.1491,0.2937,0.0299,0.5484,,,,1.0707,0.4472,0.0898,0.035,1.2264,31.2289,,,2.7636,0.3212,1.3393,,1.005,0.444,0.5059,,,2.1346,,1.6594,1.2057,2.8288,0.9812,1.1525,,,1.3588,,2.1513,0.9261,11.0962,,,0.575,,,,,3.5099,2.6599,3.8426,,,0.6685,0.3166,3.3686,,1.0522,1.6429,20.168,,0.2032,3.7547,,4.2828,,0.1601,0.0769,,,,1.8756,,6.7029,0.111,,,9.6829,,0.3582,3.8376,,,0.7733,,1.3333,4.5581,9.4379,,0.1486,,,4.9495,6.0175,1.9606,,1.2632,,4.1558,1.0596,0.239,
2000/07,,,,,36.34,29.313,,1.2465,2.1625,2.3883,2.0333,1.0239,2.3377,4.1161,2.3033,0.4005,3.2405,,0.7884,3.545,1.7097,1.0765,0.2834,0.0299,0.5501,,,,0.9142,0.4358,0.0899,0.0367,1.1896,32.8522,,,2.5316,0.3329,1.1429,,1.0144,0.3095,0.4852,,,2.1386,,2.0114,1.0971,3.0168,0.9434,1.1574,,,1.3704,,1.8524,0.9505,10.9251,,,0.5832,,,,,3.865,2.3467,4.0348,,,0.6247,0.32,3.2524,,1.1313,1.2778,33.85,,0.1815,3.5381,,4.3938,,0.1554,0.0873,,,,1.7719,,6.1256,0.1033,,,8.2235,,0.4228,3.8606,,,0.8657,,1.3672,4.2953,9.0034,,0.1514,,,5.1481,5.6781,1.9585,,1.2576,,3.299,1.084,0.1819,
2000/08,,,,,36.1,35.5,,1.3052,2.1562,2.1238,1.9913,0.8974,2.3832,3.734,2.1193,0.4638,3.0769,,0.8092,3.8193,1.8296,1.2542,0.3329,0.0299,0.5466,,,,0.8933,0.3788,0.0868,0.0317,1.2786,28.0006,,,2.4731,0.3317,1.0443,,0.8791,0.3264,0.3748,,,1.9104,,1.8833,1.2133,2.4956,1.3836,1.2266,,,1.2813,,2.0126,0.8064,8.6411,,,0.6195,,,,,3.6773,1.9383,4.4296,,,0.599,0.3013,3.2841,,1.2368,1.3096,37.995,,0.1835,3.0541,,4.0094,,0.1409,0.0769,,,,1.5889,,5.051,0.1021,,,9.4176,,0.3268,3.5782,,,0.7973,,1.2205,8.2687,7.3493,,0.145,,,4.8207,4.8679,1.9229,,1.2843,,2.8764,0.9434,0.1769,
2000/09,,,,,35.22,19.375,,1.2774,1.9748,2.5692,1.8721,0.9476,1.99,3.8186,1.9552,0.4779,3.0499,,0.7789,3.4398,1.7175,1.2154,0.3015,0.0299,0.5564,,,,0.9645,0.4444,0.1564,0.0304,1.1957,28.9128,,,2.524,0.3281,0.8889,,0.9112,0.323,0.4213,,,2.0679,,1.7473,1.1981,2.9462,1.245,1.2062,,,1.1552,,2.0579,0.9486,9.6124,,,0.4966,,,,,3.3825,1.6687,4.6516,,,0.583,0.3008,3.5565,,1.3347,1.2229,40.298,,0.1709,2.7692,,3.2548,,0.1724,0.0644,,,,1.592,,4.4067,0.1099,,,9.1665,,0.3215,3.8963,,,0.6667,,1.1416,7.9012,6.7829,,0.1514,,,4.7793,4.4435,2.0345,,1.3244,,2.8132,1.0217,0.1522,
2000/10,,,,,39.8,22.125,,1.3026,1.9734,2.7106,1.857,0.9973,1.7421,4.1612,1.8758,0.5069,3.1659,,0.8104,2.882,1.4215,1.1097,0.3721,0.0299,0.5943,,,,0.9909,0.5076,0.1444,0.0274,1.1355,23.2388,,,2.3803,0.3314,0.8258,,0.9852,0.1573,0.4809,,,1.369,,1.6897,1.2019,3.3483,1.1301,1.1193,,,1.1459,,1.7067,1.2,8.6713,,,0.4345,,,,,3.1309,1.5342,3.7878,,,0.5998,0.3064,3.2479,,1.0722,1.2229,46.746,,0.1669,2.7364,,3.2424,,0.1359,0.0657,,,,1.4253,,4.3716,0.111,,,9.6287,,0.3302,3.7932,,,0.5505,,1.1466,6.89,7.4901,,0.1379,,,5.2452,4.3316,1.7205,,1.3318,,2.34,1.3491,0.169,
