time,AAPL UW Equity,GOOGL UW Equity,GOOG UW Equity,MSFT UW Equity,BRK/B US Equity,AMZN UW Equity,FB UW Equity,JNJ UN Equity,XOM UN Equity,JPM UN Equity,WFC UN Equity,GE UN Equity,T UN Equity,BAC UN Equity,PG UN Equity,WMT UN Equity,CVX UN Equity,V UN Equity,PFE UN Equity,VZ UN Equity,MRK UN Equity,KO UN Equity,HD UN Equity,CMCSA UW Equity,DIS UN Equity,ORCL UN Equity,CSCO UW Equity,PM UN Equity,C UN Equity,IBM UN Equity,INTC UW Equity,UNH UN Equity,PEP UN Equity,MO UN Equity,AMGN UW Equity,MA UN Equity,MMM UN Equity,MDT UN Equity,BA UN Equity,KHC UW Equity,SLB UN Equity,MCD UN Equity,GS UN Equity,ABBV UN Equity,CHTR UW Equity,HON UN Equity,CELG UW Equity,BMY UN Equity,NKE UN Equity,USB UN Equity,LLY UN Equity,UPS UN Equity,WBA UW Equity,GILD UW Equity,UTX UN Equity,AVGO UW Equity,UNP UN Equity,MS UN Equity,RAI UN Equity,PCLN UW Equity,QCOM UW Equity,CVS UN Equity,SBUX UW Equity,ACN UN Equity,AGN UN Equity,TXN UW Equity,ABT UN Equity,LMT UN Equity,DOW UN Equity,TWX UN Equity,COST UW Equity,AXP UN Equity,LOW UN Equity,DD UN Equity,MDLZ UW Equity,CL UN Equity,CB UN Equity,BIIB UW Equity,BLK UN Equity,AIG UN Equity,PNC UN Equity,TMO UN Equity,NEE UN Equity,NFLX UW Equity,DHR UN Equity,ADBE UW Equity,CRM UN Equity,MET UN Equity,NVDA UW Equity,GD UN Equity,COP UN Equity,DUK UN Equity,SCHW UN Equity,FOXA UW Equity,FOX UW Equity,SPG UN Equity,GM UN Equity,EOG UN Equity,CAT UN Equity,PYPL UW Equity,FDX UN Equity,TJX UN Equity,MON UN Equity,BK UN Equity,F UN Equity,SO UN Equity,AMT UN Equity,SYK UN Equity,PRU UN Equity,KMI UN Equity,OXY UN Equity,D UN Equity,KMB UN Equity,ADP UW Equity,ITW UN Equity,AET UN Equity,RTN UN Equity,HAL UN Equity,COF UN Equity,CSX UW Equity
2000/01,0,,,0,0,,,26.3568,69.6313,23.6105,7.7469,43.5675,109.7279,44.7659,40.2135,11.6258,52.6576,,51.2579,,42.8699,,15.8895,,137.6,0,0,,13.1632,10.4607,4.7438,0.6369,41.4286,61.5509,0,,50.4505,18.3815,18.2779,,181.478,13.5747,7.4689,,,1885.7143,,44.3288,31.2558,49.2423,31.6757,55.3177,25.5086,,198.3333,,20.6612,8.2048,137.0968,,0,12.4616,,,0,7.6404,38.9693,29.6928,73.0337,,,16.6667,8.9531,,,31.7059,15.7338,0,0,6.25,43.961,0,73.3333,,2.8855,3.0927,,,0,23.6539,34.4,,5.9814,,,203.8208,,11.9162,48.1703,,0,7.0267,,36.3914,43.8989,183.6381,,2.5114,,,19.0965,206.7504,32.5943,27.4471,30.0424,,92.427,72.3684,5.2732,
2000/02,0,,,0,0,,,26.3568,69.6313,23.6105,7.7469,43.5675,109.7279,44.7659,40.2135,11.6258,52.6576,,51.2579,,42.8699,,15.8895,,137.6,0,0,,13.1632,10.4607,4.7438,0.6369,41.4286,61.5509,0,,50.4505,18.3815,18.2779,,181.478,13.5747,6.0879,,,1885.7143,,44.3288,22.8025,49.2423,31.6757,55.3177,14.2319,,198.3333,,20.6612,8.2048,137.0968,,0,12.4616,,,0,7.6404,38.9693,29.6928,73.0337,,,16.6667,8.9531,,,31.7059,15.7338,0,0,6.25,43.961,0,73.3333,,2.8855,3.0927,,,0,23.6539,34.4,,5.9814,,,203.8208,,11.9162,48.1703,,0,7.0267,,36.3914,43.8989,183.6381,,2.5114,,,19.0965,206.7504,32.5943,27.4471,30.0424,,92.427,72.3684,5.2732,
2000/03,0,,,0,0,,,29.6131,50.6116,29.0372,37.2587,51.8987,45.7739,37.1594,62.069,11.6258,52.6576,,51.2579,38.4319,45.1454,,15.8895,,0,0,0,,15.4208,14.2668,3.7092,0.6369,46.6825,55.998,0,,47.4333,18.3815,30.3828,,78.0387,0,6.0879,,,29.5183,,42.9584,22.8025,54.1689,33.3767,25.3383,14.2319,,25.6369,,26.4865,8.2048,105,,0,9.9733,,,0,7.7778,37.9622,74.5763,43.75,,,15.3963,8.9531,46.0962,0,39.1304,13.6718,0,0,5.7949,45.7912,0,76.0331,,2.992,4.6124,,0,0,28.3875,34.4,53.0928,3.8227,,,217.287,,9.4654,44.2876,,0,7.0267,,34.6154,31.5325,145.9145,,0,,,33.8235,136.7347,29.9872,20.4065,24.7042,,84.575,203.7037,4.8562,253.4304
2000/04,0,,,0,0,,,29.6131,50.6116,29.0372,37.2587,51.8987,45.7739,37.1594,62.069,20.1357,52.6576,,51.2579,38.4319,45.1454,,14.6773,,0,0,0,,15.4208,14.2668,3.7092,0.6369,46.6825,55.998,0,,47.4333,18.3815,30.3828,,78.0387,0,6.0879,,,29.5183,,42.9584,22.8025,54.1689,33.3767,25.3383,14.2319,,25.6369,,26.4865,8.2048,105,,0,9.9733,,,0,7.7778,37.9622,74.5763,43.75,,,15.3963,7.1371,46.0962,0,39.1304,13.6718,0,0,5.7949,45.7912,0,76.0331,,2.992,4.6124,,0,0,28.3875,34.4,53.0928,3.8227,,,217.287,,9.4654,44.2876,,0,8.149,,34.6154,31.5325,145.9145,,0,,,33.8235,136.7347,29.9872,20.4065,24.7042,,84.575,203.7037,4.8562,253.4304
2000/05,0,,,0,0,,,29.6131,50.6116,29.0372,37.2587,51.8987,45.7739,37.1594,62.069,20.1357,52.6576,,51.2579,38.4319,45.1454,,14.6773,,0,0,0,,15.4208,14.2668,3.7092,0.6369,46.6825,55.998,0,,47.4333,18.3815,30.3828,,78.0387,0,7.1523,,,29.5183,,42.9584,24.479,54.1689,33.3767,25.3383,17.5103,,25.6369,,26.4865,8.2048,105,,0,9.9733,,,0,7.7778,37.9622,74.5763,43.75,,,15.3963,7.1371,46.0962,0,39.1304,13.6718,0,0,5.7949,45.7912,0,76.0331,,2.992,4.6124,,0,0,28.3875,34.4,53.0928,3.8227,,,217.287,,9.4654,44.2876,,0,8.149,,34.6154,31.5325,145.9145,,0,,,33.8235,136.7347,29.9872,20.4065,24.7042,,84.575,203.7037,4.8562,253.4304
2000/06,0,,,0,0,,,35.0169,38.291,35.3454,34.0755,40.021,46.6775,39.9321,91.2065,20.1357,52.6576,,48.6548,30.6077,39.0196,45.3564,14.6773,0,0,0,0,,17.7341,11.7252,3.1878,0,34.4583,50.8521,0,,48.7234,18.3815,20.4839,,68.0541,0,7.1523,,,24.3112,,48.1592,24.479,34.1236,42.1945,27.9137,17.5103,,18.7625,,20.082,8.2048,73.3945,,0,10.2845,,,0,2.6235,42.9763,100,29.8326,,,14.1892,7.1371,53.8293,0,38.9798,26.0062,0,0,5.4726,45.7627,0,44.6078,,2.6259,4.5441,,0,0,25.5035,19.6833,63.8889,10.8988,,,213.8496,,4.4564,35.8083,,0,8.149,,33.1461,39.9007,85.0213,,0,,,16.3121,136.7347,34.1239,24.5015,19.8604,,71.9368,107.6923,4.5812,131.885
2000/07,0,,,0,0,,,35.0169,38.291,35.3454,34.0755,40.021,46.6775,39.9321,91.2065,16.7293,52.6576,,48.6548,30.6077,39.0196,45.3564,11.0453,0,0,0,0,,17.7341,11.7252,3.1878,0,34.4583,50.8521,0,,48.7234,21.0841,20.4839,,68.0541,0,7.1523,,,24.3112,,48.1592,24.479,34.1236,42.1945,27.9137,17.5103,,18.7625,,20.082,8.2048,73.3945,,0,10.2845,,,0,2.6235,42.9763,100,29.8326,,,14.1892,4.7804,53.8293,0,38.9798,26.0062,0,0,5.4726,45.7627,0,44.6078,,2.6259,4.5441,,0,0,25.5035,19.6833,63.8889,10.8988,,,213.8496,,4.4564,35.8083,,0,10.1567,,33.1461,39.9007,85.0213,,0,,,16.3121,136.7347,34.1239,24.5015,19.8604,,71.9368,107.6923,4.5812,131.885
2000/08,0,,,0,0,,,35.0169,38.291,35.3454,34.0755,40.021,46.6775,39.9321,91.2065,16.7293,52.6576,,48.6548,30.6077,39.0196,45.3564,11.0453,0,0,0,0,,17.7341,11.7252,3.1878,0,34.4583,50.8521,0,,48.7234,21.0841,20.4839,,68.0541,0,6.6748,,,24.3112,,48.1592,15.4139,34.1236,42.1945,27.9137,16.4358,,18.7625,,20.082,8.2048,73.3945,,0,10.2845,,,0,2.6235,42.9763,100,29.8326,,,14.1892,4.7804,53.8293,0,38.9798,26.0062,0,0,5.4726,45.7627,0,44.6078,,2.6259,4.5441,,0,0,25.5035,19.6833,63.8889,10.8988,,,213.8496,,4.4564,35.8083,,0,10.1567,,33.1461,39.9007,85.0213,,0,,,16.3121,136.7347,34.1239,24.5015,19.8604,,71.9368,107.6923,4.5812,131.885
2000/09,0,,,0,0,,,36.2618,37.7143,42.4309,47.9167,42.5731,28.7429,44.8578,43.4164,16.7293,52.6576,,40.7054,48.8636,42.5838,39.4564,11.0453,0,0,0,0,,19.7106,12.0531,5.3806,0,32.4748,46.8737,0,,45.8918,21.0841,20.5255,,52.7791,0,6.6748,,,53.2582,,53.8634,15.4139,49.9599,36.171,27.6353,16.4358,,19.1803,,19.5313,8.2048,68.3761,,0,12.0723,0,,0,5.1775,44.9501,100,55.1821,,,14.5183,4.7804,64.7006,0,33.8393,22.4558,0,0,5.5132,41.4966,0,25.4777,,3.4045,3.8393,,0,0,17.5699,20.1878,27.154,11.9965,,,207.5979,,3.5094,54.2278,,0,10.1567,,31.9559,108.767,41.6866,,0,,,22.9426,59.0673,33.1971,31.9717,22.8604,,50.8722,43.0769,4.2867,107.2546
2000/10,0,,,0,0,,,36.2618,37.7143,42.4309,47.9167,42.5731,28.7429,44.8578,43.4164,19.5033,52.6576,,40.7054,48.8636,42.5838,39.4564,14.2585,0,0,0,0,,19.7106,12.0531,5.3806,0,32.4748,46.8737,0,,45.8918,19.4112,20.5255,,52.7791,0,6.6748,,,53.2582,,53.8634,15.4139,49.9599,36.171,27.6353,16.4358,,19.1803,,19.5313,8.2048,68.3761,,0,12.0723,0,,0,5.1775,44.9501,100,55.1821,,,14.5183,6.6082,64.7006,0,33.8393,22.4558,0,0,5.5132,41.4966,0,25.4777,,3.4045,3.8393,,0,0,17.5699,20.1878,27.154,11.9965,,,207.5979,,3.5094,54.2278,,0,7.1225,,31.9559,108.767,41.6866,,0,,,22.9426,59.0673,33.1971,31.9717,22.8604,,50.8722,43.0769,4.2867,107.2546
