time,AAPL UW Equity,GOOGL UW Equity,GOOG UW Equity,MSFT UW Equity,BRK/B US Equity,AMZN UW Equity,FB UW Equity,JNJ UN Equity,XOM UN Equity,JPM UN Equity,WFC UN Equity,GE UN Equity,T UN Equity,BAC UN Equity,PG UN Equity,WMT UN Equity,CVX UN Equity,V UN Equity,PFE UN Equity,VZ UN Equity,MRK UN Equity,KO UN Equity,HD UN Equity,CMCSA UW Equity,DIS UN Equity,ORCL UN Equity,CSCO UW Equity,PM UN Equity,C UN Equity,IBM UN Equity,INTC UW Equity,UNH UN Equity,PEP UN Equity,MO UN Equity,AMGN UW Equity,MA UN Equity,MMM UN Equity,MDT UN Equity,BA UN Equity,KHC UW Equity,SLB UN Equity,MCD UN Equity,GS UN Equity,ABBV UN Equity,CHTR UW Equity,HON UN Equity,CELG UW Equity,BMY UN Equity,NKE UN Equity,USB UN Equity,LLY UN Equity,UPS UN Equity,WBA UW Equity,GILD UW Equity,UTX UN Equity,AVGO UW Equity,UNP UN Equity,MS UN Equity,RAI UN Equity,PCLN UW Equity,QCOM UW Equity,CVS UN Equity,SBUX UW Equity,ACN UN Equity,AGN UN Equity,TXN UW Equity,ABT UN Equity,LMT UN Equity,DOW UN Equity,TWX UN Equity,COST UW Equity,AXP UN Equity,LOW UN Equity,DD UN Equity,MDLZ UW Equity,CL UN Equity,CB UN Equity,BIIB UW Equity,BLK UN Equity,AIG UN Equity,PNC UN Equity,TMO UN Equity,NEE UN Equity,NFLX UW Equity,DHR UN Equity,ADBE UW Equity,CRM UN Equity,MET UN Equity,NVDA UW Equity,GD UN Equity,COP UN Equity,DUK UN Equity,SCHW UN Equity,FOXA UW Equity,FOX UW Equity,SPG UN Equity,GM UN Equity,EOG UN Equity,CAT UN Equity,PYPL UW Equity,FDX UN Equity,TJX UN Equity,MON UN Equity,BK UN Equity,F UN Equity,SO UN Equity,AMT UN Equity,SYK UN Equity,PRU UN Equity,KMI UN Equity,OXY UN Equity,D UN Equity,KMB UN Equity,ADP UW Equity,ITW UN Equity,AET UN Equity,RTN UN Equity,HAL UN Equity,COF UN Equity,CSX UW Equity
2000/01,3.71,,,48.94,32.92,64.56,,43.03,41.75,53.63,20,44.46,43.13,24.22,50.44,54.75,41.78,,36.38,55.52,74.59,28.72,56.63,14.38,35.83,,54.75,,400.68,112.19,49.47,6.63,34.13,4.85,63.69,,46.81,45.75,44.31,,30.53,37.19,91.63,,,47.73,2.91,62.82,5.69,23.54,66.88,59.5,,1.46,26.47,,10,55,2.15,348,63.5,17.47,4,,40.31,,14.6,18.75,38.83,112.68,48.94,48.09,11.16,56.05,,29.63,17.69,38.74,17.5,1163.02,48,14.93,21.09,,8.17,13.77,,,3.09,23.56,15.58,50.43,23.92,,,22.17,,3.97,21.22,,39.56,4.08,,43.06,47.79,15.61,35.88,15.75,,,9.53,20.88,58.36,,29.25,,22.81,18,41,
2000/02,4.09,,,44.69,28.8,68.88,,35.88,37.66,53.08,16.53,44.06,38,23.03,44,48.69,37.34,,32.13,43.86,58.27,24.22,57.81,13.33,33.05,,66.09,,360.57,102,56.5,6.39,32.25,4.64,68.19,,44.06,48.44,36.88,,36.94,31.56,92.5,,,47.85,6.9,54.07,3.55,17.56,59.44,54.63,,2.39,25.47,,9.5,58.47,2.25,335.63,71.22,17.5,4.39,,40,,14.66,17.44,36.17,116.76,49.63,39.15,11.91,47.97,,26.09,17.88,43.25,21.69,987.8,38.69,13.48,19.31,,7.73,25.5,,,5.33,21.63,14.58,42.36,28,,,21.1,,3.81,17.53,,34.94,3.98,,35.31,39.99,13.51,49.25,14.63,,,7.7,18.34,48.71,,25.84,,18.5,19.09,36.81,
2000/03,4.85,,,53.13,36.4,67,,35.03,38.91,58.13,20.47,51.73,42,26.22,28.13,55.5,46.22,,36.56,54.79,58.8,23.47,64.5,13.75,40.82,,77.31,,413.76,118,65.97,7.45,34.56,4.89,61.38,,44.28,51.44,37.94,,38.25,37.56,105.13,,,52.39,4.15,54.97,4.95,22.62,63,63,,1.98,31.59,,9.78,67.71,2.13,480,74.66,18.78,5.6,,39.69,,15.75,20.44,38,133.09,52.56,43.46,14.59,50.23,,28.19,22.88,30.17,20.25,1223.06,45.06,17.58,23.03,,9.66,27.83,,,7.04,24.88,17.63,45.85,38,,,21.55,,5.3,19.72,,39,5.55,,44.06,44.13,13.25,49.38,17.44,,,9.95,19.22,52.77,,27.63,,17.75,20.5,47.94,
2000/04,4.43,,,34.88,38.32,55.19,,41.25,38.84,48.04,20.53,52.42,43.81,24.5,29.81,55.38,42.56,,42.13,53.11,65.78,23.53,56.06,13,42.74,,69.33,,414.63,111.63,63.41,8.34,36.69,5.06,56,,43.25,51.94,39.69,,38.28,38.13,93.25,,,55.68,5.88,49.91,5.43,24.53,77.31,66.5,,1.69,31.09,,10.53,63.71,2.59,379.5,54.22,21.75,3.78,,44.94,,17.2,24.88,37.67,118.37,54.06,43.79,12.38,45.06,,28.56,23.94,19.65,26,1225.15,43.63,16.71,22.59,,10.82,30.23,,16.56,7.43,29.25,18.08,50.22,29.67,,,22.78,,6.22,19.72,,37.69,4.8,,43.53,52.54,15.19,46.5,17.97,,,10.28,22.5,54.71,,32.03,,22.19,22.09,43.75,
2000/05,3,,,31.28,37.72,48.31,,44.75,41.66,49.79,22.63,52.63,43.69,27.78,33.25,57.63,46.22,,44.56,47.39,70.63,26.69,48.81,12.52,41.63,,56.94,,433.81,107.31,62.34,9.32,40.69,6.05,63.63,,42.88,51.63,39.06,,36.78,35.81,73.56,,,54.38,4.59,52.41,5.36,25.21,76.13,59.88,,1.71,30.22,,10.58,59.72,3.47,228.75,33.19,21.75,4.25,,44.13,,18.21,24.5,35.69,104.89,31.94,47.1,11.64,46.55,,26.31,26.81,19.59,24.06,1257.26,50.38,16.01,24.75,,9.13,28.14,,20.5,9.51,29.53,21.82,50.87,28.25,,,22,,8.13,19.13,,35.38,5.41,,49.75,46.65,15.8,37.13,18.91,,,11.36,22.88,57.01,,29.03,,23.44,25.5,47.25,
2000/06,3.74,,,40,35.2,36.31,,50.94,39.25,46.06,19.38,53,43.25,21.5,28.63,57.63,42.41,,48,45.55,72.52,28.72,49.94,12.96,38.3,,63.56,,420.3,109.56,66.84,10.72,44.44,6.15,70.25,,41.25,49.81,41.81,,37.31,32.94,94.88,,,33.5,7.36,55.44,4.98,20.77,99.88,59,,2.22,29.44,,9.3,69.11,3.49,227.91,30,20,4.77,,53.75,,19.94,24.81,30.19,104.39,33,45.63,10.27,41.56,,29.94,28,36.02,29,1312.41,46.88,18.17,24.75,,9.37,32.5,,21.06,10.59,26.13,19.32,49.23,33.63,,,19.92,,8.38,16.94,,38,4.69,,49.29,43,14.2,41.69,21.88,,,10.1,21.44,54.06,,28.5,,19.25,23.59,44.63,
2000/07,3.63,,,34.91,36.5,30.13,,46.53,40,49.69,20.66,51.44,42.56,23.69,28.44,54.94,39.5,,43.13,42.13,67.85,30.66,51.75,11.25,38.17,,65.44,,492.23,112.44,66.75,10.23,45.81,5.84,64.94,,45.03,51.06,49,,36.97,31.5,98.94,,,33.43,6.49,47.23,5.47,19.47,103.88,58.75,,2.32,29.19,,10.8,75.75,3.55,141.75,32.47,19.72,4.69,,55.25,,18.63,28.13,28.75,105.51,32.56,49.62,10.55,43.05,,27.84,36,37.71,33.75,1469.14,50.88,17.9,24.13,,9.65,28.63,,21,10,28.22,19.37,53.87,38.13,,,23.46,,7.39,17.03,,39.63,4.19,,49.62,46.56,14.88,42.88,21.47,,,9.71,22.72,54.12,,28.63,,24.25,23.06,58.63,
2000/08,4.35,,,34.91,38.26,41.5,,45.97,40.81,55.88,21.59,58.69,41.75,26.78,30.91,47.44,42.25,,43.25,39.1,66.13,26.31,48.06,12.23,38.42,,68.63,,542.96,132,74.88,11.81,42.63,6.86,75.81,,46.5,51.25,53.63,,42.66,29.88,128.06,,,38.34,9.25,50.44,4.95,23.54,73,55.44,,3.38,31.22,,9.94,89.29,4.48,163.13,29.94,18.56,4.58,,61.69,,19.58,28.38,26.19,116.02,34.44,51.76,11.2,42.63,,25.47,35.13,42.87,41,1493.22,58.94,20.06,26.69,,10.65,32.5,,24.31,13.23,31.47,23.58,65.33,38.44,,,20.48,,9.56,18.38,,40.35,4.7,,55.58,24.19,18.23,36.31,22.41,,,10.37,26.5,55.12,,28.03,,27.81,26.5,60.31,
2000/09,1.84,,,30.16,41.4,38.44,,46.97,44.56,46.19,22.97,57.69,50,26.19,33.5,48.13,42.63,,44.94,43.42,70.45,27.56,53.06,13.56,37.74,,55.25,,502.84,112.5,41.56,12.34,46,6.81,69.83,,45.56,51.81,63,,41.16,30.19,113.94,,,35.42,7.44,54.37,5.01,22.06,81.13,56.38,,3.43,34.63,,9.72,75.9,4.03,71.25,35.63,23.16,5.01,,64.88,,21.29,32.96,24.94,106.37,34.94,53.18,11.22,39.36,,23.6,39.25,53.84,32,1603.17,65,22.43,32.88,,9.43,38.81,,26.19,13.65,31.41,23.92,74.89,35.47,,,21.04,,9.72,16.88,,44.34,5.63,,59.43,25.31,19.76,37.69,21.47,,,10.46,29.03,52.59,,27.94,,28.44,24.47,70.06,
2000/10,1.4,,,34.44,42.06,36.63,,46.06,44.59,45.5,23.16,54.81,57.69,24.03,35.72,45.38,41.06,,43.19,51.82,85.12,30.19,43,13.38,35.34,,53.88,,489.47,98.5,45,13.67,48.44,8.48,57.94,,48.31,54.31,67.81,,38.06,31,99.81,,,53.51,8.05,58,4.99,19.41,89.38,60.75,,2.69,34.91,,11.72,66.67,4.47,34.5,32.55,26.47,5.59,,62.56,,23.64,35.85,30.63,99.8,36.63,52.52,11.42,43.1,,29.38,39.25,60.22,42.63,1641.91,66.88,25.01,33,,11.96,38.03,,27.63,10.36,35.78,23.54,75.49,35.13,,,20.03,,9.84,17.53,,46.86,6.81,12.75,61.02,26.13,17.89,40.94,23.56,,,9.53,29.78,62.19,,27.78,,34.19,18.53,63.13,
