time,AAPL UW Equity,GOOGL UW Equity,GOOG UW Equity,MSFT UW Equity,BRK/B US Equity,AMZN UW Equity,FB UW Equity,JNJ UN Equity,XOM UN Equity,JPM UN Equity,WFC UN Equity,GE UN Equity,T UN Equity,BAC UN Equity,PG UN Equity,WMT UN Equity,CVX UN Equity,V UN Equity,PFE UN Equity,VZ UN Equity,MRK UN Equity,KO UN Equity,HD UN Equity,CMCSA UW Equity,DIS UN Equity,ORCL UN Equity,CSCO UW Equity,PM UN Equity,C UN Equity,IBM UN Equity,INTC UW Equity,UNH UN Equity,PEP UN Equity,MO UN Equity,AMGN UW Equity,MA UN Equity,MMM UN Equity,MDT UN Equity,BA UN Equity,KHC UW Equity,SLB UN Equity,MCD UN Equity,GS UN Equity,ABBV UN Equity,CHTR UW Equity,HON UN Equity,CELG UW Equity,BMY UN Equity,NKE UN Equity,USB UN Equity,LLY UN Equity,UPS UN Equity,WBA UW Equity,GILD UW Equity,UTX UN Equity,AVGO UW Equity,UNP UN Equity,MS UN Equity,RAI UN Equity,PCLN UW Equity,QCOM UW Equity,CVS UN Equity,SBUX UW Equity,ACN UN Equity,AGN UN Equity,TXN UW Equity,ABT UN Equity,LMT UN Equity,DOW UN Equity,TWX UN Equity,COST UW Equity,AXP UN Equity,LOW UN Equity,DD UN Equity,MDLZ UW Equity,CL UN Equity,CB UN Equity,BIIB UW Equity,BLK UN Equity,AIG UN Equity,PNC UN Equity,TMO UN Equity,NEE UN Equity,NFLX UW Equity,DHR UN Equity,ADBE UW Equity,CRM UN Equity,MET UN Equity,NVDA UW Equity,GD UN Equity,COP UN Equity,DUK UN Equity,SCHW UN Equity,FOXA UW Equity,FOX UW Equity,SPG UN Equity,GM UN Equity,EOG UN Equity,CAT UN Equity,PYPL UW Equity,FDX UN Equity,TJX UN Equity,MON UN Equity,BK UN Equity,F UN Equity,SO UN Equity,AMT UN Equity,SYK UN Equity,PRU UN Equity,KMI UN Equity,OXY UN Equity,D UN Equity,KMB UN Equity,ADP UW Equity,ITW UN Equity,AET UN Equity,RTN UN Equity,HAL UN Equity,COF UN Equity,CSX UW Equity
2000/01,16682.9,,,503860.5,77502.2621,22002.0599,,132094.3182,202720.0402,99232.205,65990.5176,437156.979,147115.7574,82830.0112,132721.2326,243842.4382,54839.2269,,229373.2548,96175.6835,184219.5623,141859.3086,130328.5203,16904.496,75203.1875,,362992.5,,193377.7031,200166.726,330550.1875,9078.6883,49822.5,49793.8988,65056.7813,,37574.8971,54643.1589,39917.4081,,33574.8489,50351.875,45080.1002,,,26524.8662,1196.352,130923.6731,12558.2354,46043.1532,72928.5916,72193.9439,,2053.6175,25343.3515,,9911.3202,74099.8325,1884.2656,8492.7661,89946.4788,13688.6176,5865.0273,,3868.468,,49653.1313,7424.1188,25548.1002,126182.605,21745.0842,73770.076,17059.0665,57543.0558,,34517.9239,3432.4894,5337.9333,1117.62,161210.6924,14112,2739.4781,7557.5112,,6138.6709,6527.0538,,,1138.4488,9470.8666,10357.1528,21078.75,29557.403,41675.3178,41675.3178,4258.1599,,1891.6809,15046.9792,,11469.1287,5058.1932,,30012.532,60092.2815,17288.1618,5585.8141,6104.7001,,,7305.6128,7966.2174,33715.4914,,14665.9498,,7720.3202,15876,8081.6333,
2000/02,18480.3,,,448662.5,66739.5678,23471.7038,,110126.563,182842.5512,98229.8595,54545.2872,433264.766,129632.4355,78768.6687,115781.5957,216841.6203,49014.8662,,202573.6305,75989.4654,143898.7065,119631.0818,133061.6791,15623.9738,69378.5,,438201.5625,,174018.8906,181990.0261,377533,8757.5083,47085,47712.9598,69653.5313,,35136.4067,57853.0712,33217.5892,,40619.7251,42735.625,45509.679,,,38265.7754,2838.6561,112698.5027,7848.8971,34351.5672,64817.8417,66137.4042,,3355.9785,24172.1864,,9415.7542,77807.376,1973.34,8190.7604,100879.9336,13713.1053,6453.5161,,3838.4799,,49843.3732,6904.4305,23793.7242,134481.691,22050.5707,60062.3258,18205.8945,49252.9545,,30403.4456,3468.8762,5959.2381,1397.025,136922.6469,11374.125,2472.4531,6919.3214,,5809.4958,12090.9781,,,1965.8879,8692.0951,9692.0146,17702.5,34270.1952,50916.6724,50916.6724,4031.7767,,1817.2053,12432.0403,,10128.3459,4941.9129,,24610.2763,50278.2154,14969.0182,7668.3301,5668.6501,,,5904.2217,7000.2539,28135.9348,,12958.0561,,6393.169,16840.6875,7256.2226,
2000/03,21896.2,,,533375,86519.2735,23125.3849,,97364.664,270554.0625,107559.383,66599.1309,509766.5758,142605.627,87952.0003,74008.1223,247182.7456,60670.9841,,140729.1607,94784.0349,144693.9633,116009.5493,148453.6787,32547.5357,85687.625,,532683.125,,199736.3208,209194.7703,439879.625,9985.3988,50288.4375,49401.2148,62473.614,,35310.8428,61565.6957,33036.6206,,43293.7238,50739.4268,51782.6347,,,41893.5697,1762.6545,114391.5482,10936.705,44235.1759,68684.9963,76263.3132,,2794.3938,29985.3747,,9694.5101,90096.3848,1817.334,13109.3604,105749.0835,14724.3498,8233.4004,,3815.2786,,54435.7541,8137.4974,25454.1477,153448.886,23463.9526,66560.1678,22315.3616,55261.3006,,32635.4889,4974.4203,4192.5241,1293.246,169629.5217,13203.3125,3188.219,8224.6894,,7264.4401,13194.8726,,,2627.4641,10000.4264,13041.1591,19241.25,46714.0226,48720.3928,48720.3928,4037.7756,,2523.5373,13952.1205,,11306.0605,6879.918,,30705.1289,55419.9386,14485.5,7753.2947,6779.6998,,,7634.2567,7160.9064,30273.5986,,16606.4373,,6114.149,18122,9445.8929,
2000/04,20001.9,,,350145,89853.5702,19048.2415,,114648.8461,270119.4375,88900.3359,66802.487,516541.5645,148759.7388,82186.3745,77983.539,246806.375,55871.454,,162139.2381,91876.5492,161870.9127,116318.4961,129185.7659,30089.5676,89700.1875,,477670.7813,,200157.2614,197892.9342,422792.875,11168.1557,52866.6875,51155.1041,57500.8027,,34488.5014,62164.1472,34560.5503,,43329.0945,51499.2519,45883.9923,,,44527.4478,2499.5835,103868.5162,11878.0648,47971.6622,84289.0282,80515.1008,,2389.2894,29260.4618,,10437.8591,87048.3941,2218.2165,10364.588,80356.0924,17051.8261,5554.9616,,4319.9768,,59463.5679,9904.3546,25230.8657,136906.0693,24133.5541,67062.9303,18926.7709,49578.4009,,33069.6639,5205.4727,2731.0081,1660.464,169919.9832,12782.125,3031.742,8050.8899,,8093.6988,14479.8473,,,2771.7875,11759.2953,13375.9997,21073.75,36590.0815,44721.3969,44721.3969,4405.8302,,2962.737,13952.1205,,10817.1797,5755.8547,,30335.7439,65989.4383,16608.375,7311.6513,6986.2498,,,7887.1989,8383.5001,31388.5861,,19255.2016,,7584.4083,19530.875,8620.7627,
2000/05,13670.5,,,329229.2605,88759.4535,16995.0911,,124484.9513,290021.3079,61580.0671,72907.0629,520641.5317,148612.6306,92080.2274,86975.3516,256663.7196,60266.4742,,172010.9345,81726.5613,171594.3756,132108.0638,112929.6612,34348.8251,87657.272,,395011.3293,,209863.5155,190247.5351,417578.4375,12109.6208,58631.4275,59739.7556,65330.1531,,33940.6131,61790.1024,35435.4644,,41861.4267,47852.6608,36194.2466,,,43649.4236,2367.2549,108615.7888,11724.2481,24777.9618,85971.9992,68676.4409,,2436.689,28437.0518,,10487.0688,81420.4467,2868.9338,6516.4849,49186.245,16972.9425,6307.9826,,4260.454,,63042.1572,9806.196,24126.2132,122623.0291,14268.4261,71888.928,17811.5204,51318.2826,,30346.1112,5818.7977,2833.9513,1536.7611,173501.9303,14629.0519,2893.4761,8819.2321,,6827.4216,13477.1308,,16039.0191,3560.0836,11851.4103,14533.2334,21404.6316,36298.2262,44172.5928,44172.5928,4254.5697,,3814.3039,13333.5288,,10155.1825,6432.4555,,34617.4863,58531.7278,16823.6777,5877.1759,7334.1128,,,8731.8047,10877.9184,32824.1672,,17507.9754,,7977.6944,22640.5837,9252.5847,
2000/06,17047.4,,,420992.4609,81642.7577,12773.8007,,141697.256,273268.3892,56968.0049,62434.2252,524351.5664,147124.3782,71261.1884,74877.2764,257288.5063,55295.2031,,302137.2891,78538.6458,176193.2199,142163.1272,115532.3935,36692.5492,80644.6902,,446453.627,,203325.0543,194236.4176,447719.4375,13926.5715,64035.2458,60740.1821,72132.7034,,32654.2342,59620.7162,37930.1211,,42466.0522,44011.0859,46630.4594,,,26888.0449,3792.439,114903.4224,10886.8018,20416.0713,112794.1336,67556.3267,,3169.0881,27701.8644,,9216.8478,94224.1833,2888.3185,6492.4487,44462.1423,15607.3035,7084.8849,,5189.7882,,69046.1721,9931.2751,20407.9882,121474.3357,14750.4229,69634.5714,15714.0478,45819.8952,,34526.8106,6076.5067,5209.9184,1852.0995,181112.5092,13612.6413,3283.1699,8819.2321,,7004.5272,15564.9262,,16479.1141,4096.2155,10484.4222,12867.306,20715.6413,45789.9889,53181.537,53181.537,3852.9904,,3931.6671,11808.452,,10908.7473,5484.4236,,34294.82,51827.3214,15121.0404,6599.455,8485.7503,,,7764.1641,10194.3333,31128.704,,17196.598,,6559.3229,20948.0891,8738.5523,
2000/07,16538.8,,,367381.6682,83736.7977,10597.1978,,129440.0087,278490.0781,61451.24,66890.7622,509168.1085,144785.6959,78511.6,74386.8139,245289.1508,51505.6277,,271451.4706,127850.2009,164839.8232,151865.8234,119725.6844,30849.1887,80384.965,,459623.3505,,238126.5418,199333.3231,447091.5,13287.086,66110.7817,57738.9025,66677.8282,,35647.5472,61186.9496,44189.6559,,42074.8239,42090.2985,49117.3954,,,26838.1599,3345.5593,97889.8255,11963.5185,19143.8532,117311.5457,67386.0694,,3302.7579,27329.4762,,10703.9358,102669.4273,2933.5494,4038.0841,48382.294,15387.8258,6957.3338,,5334.6195,,64494.7414,11257.1128,19436.1792,122335.8558,14554.8681,75729.6838,16144.5697,47456.32,,32112.0963,7812.6515,5454.1767,2155.4404,202740.0509,14774.2534,3585.6001,8596.5242,,7220.7979,13760.507,,16430.2147,3866.6341,11324.6809,12899.038,22667.7805,49194.4491,47669.9662,47669.9662,4536.7605,,3469.5495,11873.8124,,11375.2397,4899.4184,,34525.2959,56101.4781,15850.7421,6787.4455,8366.7194,,,7464.6563,10803.6156,31162.6133,,17272.0217,,8167.9526,20476.4103,11480.0589,
2000/08,19802.8,,,367381.6682,87944.1687,14768.3566,,127823.6287,284368.5269,69434.3524,71101.613,580934.2088,141514.2242,87987.2011,80844.5703,211871.7879,55150.4227,,273068.6527,118572.5689,160749.9111,130347.6282,111308.2324,33686.1525,81169.3825,,480443.625,,262553.5624,232413.022,502710.75,15183.7878,61510.9865,66717.4311,77957.9975,,36762.1553,61411.6263,48115.8855,,48629.6507,39455.911,61240.4902,,,30890.5302,4925.2772,104161.8019,10776.2917,22877.2308,82453.2772,63310.926,,5045.6843,29231.4262,,9852.4508,121023.3455,3657.8689,4530.34,44610.4308,14503.5008,6851.6771,,6283.1184,,67809.4826,12139.591,17760.8072,135402.2441,15392.9603,78747.4197,17149.1207,46785.7043,,29257.3478,7654.5418,6262.5864,2619.4409,206220.4539,17057.1021,4031.7893,9487.5235,,7965.0274,15623.283,,18840.7526,5115.2346,12489.576,15763.5777,27535.9155,52722.5006,50536.2614,50536.2614,3952.487,,4445.6482,12705.0261,,11495.1742,5502.705,,38711.4243,29142.647,19418.2731,6505.0021,8746.3694,,,7977.0301,12608.7159,31482.1442,,16921.6465,,9304.4143,23613.1433,11834.1571,
2000/09,8368,,,322996.143,97802.903,13678.523,,130604.2923,310497.3349,57395.958,75629.0674,571035.4363,169478.1128,86036.4803,87511.0784,214942.3935,55639.9235,,283723.0655,131652.924,171246.1039,136539.9146,122887.7624,37030.924,79736.2152,,389070.0414,,243157.2072,198079.2801,279050.625,15866.6566,66381.3579,66295.1689,71804.2643,,36020.9828,62153.344,56527.7536,,46919.597,39868.6298,53940.1036,,,28537.4428,3960.1891,112268.7346,10807.1598,21439.9178,91630.4399,64381.573,,5124.5231,32420.8411,,9635.5729,102880.3919,3288.2584,1978.7692,53085.4813,18092.7509,7494.7526,,6607.778,,73718.5946,14101.1778,16913.0359,124688.6251,15616.4516,80911.7251,17178.5219,43201.8412,,27110.6124,8985.2237,7865.3768,2044.4417,221404.9894,18811.6502,4508.6676,11687.207,,7052.4603,18657.8053,,20293.7669,5359.0383,13410.0288,15986.497,31561.6341,49012.0792,53802.3878,53802.3878,4071.9303,,4518.2895,11667.8811,,12631.8717,6328.7299,,41387.5418,30724.031,21039.8408,6739.7187,8380.4125,,,8046.1951,13813.0861,30035.8491,,16865.0523,,9561.986,21803.1736,13747.2437,
2000/10,6357.2,,,363866.625,97040.7489,13044.8586,,128056.4265,310715.0749,59605,79487.6272,543126.1964,195535.3726,78381.4773,93307.0546,202659.971,53600.3369,,272674.0448,157134.1351,206904.4026,149717.3089,99583.9583,36851.0306,74654.9858,,379387.3291,,236691.7554,173429.4141,302130,17573.8285,69943.75,82481.8874,59577.1341,,38195.0887,65152.2991,60845.8459,,43392.6114,40941.6985,47906.3602,,,43106.5583,4284.6584,119761.5057,10787.0187,18864.7322,100948.7897,69377.9257,,4017.8597,32697.341,,11618.4561,90007.2932,3645.1237,958.1409,48510.351,20680.9177,8359.9814,,6372.2406,,81855.7325,15337.5978,20770.395,117367.6714,16370.7346,79912.8149,17489.5537,47306.9935,,33750.4149,8985.2237,8796.7753,2723.2602,226755.7305,19354.294,5028.8985,11731.645,,8954.9125,18281.0664,,21407.7445,4136.5212,14201.1564,15731.7321,31814.6793,48494.3459,41392.8805,41392.8805,3876.4776,,4576.4026,12121.6321,,13356.8804,7664.7951,6502.5,42494.9008,49539.1567,19053.4203,7320.9216,9197.7162,,,7331.4901,14169.9366,35518.3165,,16770.7288,,11403.6493,16512.4929,12386.009,
