time,AAPL UW Equity,GOOGL UW Equity,GOOG UW Equity,MSFT UW Equity,BRK/B US Equity,AMZN UW Equity,FB UW Equity,JNJ UN Equity,XOM UN Equity,JPM UN Equity,WFC UN Equity,GE UN Equity,T UN Equity,BAC UN Equity,PG UN Equity,WMT UN Equity,CVX UN Equity,V UN Equity,PFE UN Equity,VZ UN Equity,MRK UN Equity,KO UN Equity,HD UN Equity,CMCSA UW Equity,DIS UN Equity,ORCL UN Equity,CSCO UW Equity,PM UN Equity,C UN Equity,IBM UN Equity,INTC UW Equity,UNH UN Equity,PEP UN Equity,MO UN Equity,AMGN UW Equity,MA UN Equity,MMM UN Equity,MDT UN Equity,BA UN Equity,KHC UW Equity,SLB UN Equity,MCD UN Equity,GS UN Equity,ABBV UN Equity,CHTR UW Equity,HON UN Equity,CELG UW Equity,BMY UN Equity,NKE UN Equity,USB UN Equity,LLY UN Equity,UPS UN Equity,WBA UW Equity,GILD UW Equity,UTX UN Equity,AVGO UW Equity,UNP UN Equity,MS UN Equity,RAI UN Equity,PCLN UW Equity,QCOM UW Equity,CVS UN Equity,SBUX UW Equity,ACN UN Equity,AGN UN Equity,TXN UW Equity,ABT UN Equity,LMT UN Equity,DOW UN Equity,TWX UN Equity,COST UW Equity,AXP UN Equity,LOW UN Equity,DD UN Equity,MDLZ UW Equity,CL UN Equity,CB UN Equity,BIIB UW Equity,BLK UN Equity,AIG UN Equity,PNC UN Equity,TMO UN Equity,NEE UN Equity,NFLX UW Equity,DHR UN Equity,ADBE UW Equity,CRM UN Equity,MET UN Equity,NVDA UW Equity,GD UN Equity,COP UN Equity,DUK UN Equity,SCHW UN Equity,FOXA UW Equity,FOX UW Equity,SPG UN Equity,GM UN Equity,EOG UN Equity,CAT UN Equity,PYPL UW Equity,FDX UN Equity,TJX UN Equity,MON UN Equity,BK UN Equity,F UN Equity,SO UN Equity,AMT UN Equity,SYK UN Equity,PRU UN Equity,KMI UN Equity,OXY UN Equity,D UN Equity,KMB UN Equity,ADP UW Equity,ITW UN Equity,AET UN Equity,RTN UN Equity,HAL UN Equity,COF UN Equity,CSX UW Equity
2000/03,233,,,2385,807,-308.4,,1314,3480,1988,1040,2592,1822,2240,753,1326,1044,,-204,1515,1499.6,-58,629,-191.5,77,763.2,641,,3856,1519,2696,174,422,2009,266.2,,487,259.5,418,,136.2,450.9,887,,,506,-6.6,1221,145.3,379,845.5,813,238.9,-16.9,377,,185,1544,80,-13.6,199.7,191.3,23.4,,130.1,421,693,54,512,-1455,181.6,656,187.1,803,470,239.9,174.5,-4.3,19.2,1346,308,3.6,125,,71.6,64.6,,236,18.3,184,250,393,300,,,37.5,,41.5,258,,113.1,130.6,17,338,2079,292.4,,51.8,,,271,186,470.2,271.3,219.1,,-181,264,106.7,29
2000/06,200,,,2409,640,-317.2,,1363,4530,1633,1037,3378,1851,2063,516,1596,1116,,1150,4904,1721.7,926,838,187.7,361,4912.4,764,,3339,1941,3137,170,563,2171,302.6,,470,284.1,620,,155.9,525.9,755,,,617,-5.9,1091,126.1,316.7,666.2,695,193.6,-4,509,,244,1458,109,-4.5,154.7,186.5,34.9,,96.8,1296,685.2,42,657,-924,120.3,740,279.6,688,568,261.9,113.9,14.7,20.9,1407,315,24.3,208,,81.3,65.8,,-115,22.5,204,442,329,137.2,,,50.2,,77.5,315,,245,114,248,356,-577,388.9,,52.7,,,564,-81,434.3,223.8,273.3,,49,75,112.5,55
2000/09,170,,,2206,797,-240.5,,1323,4490,1398,821,3180,2999,1829,1155,1369,1531,,1361,3466,1835.9,1067,650,1246.8,289,500.7,798,,3484,1963,2509,182,755,2319,358.9,,499,309.1,609,,204.6,548.5,824,,,282,-7.5,1236,210.2,309,778.8,702,216.6,-17.4,496,,256,1246,117,0,126.3,158.7,1.5,,-67.5,676,654.4,-704,357,-902,200.2,737,202.3,562,548,275.3,140.8,17.4,22.8,1705,322,12.3,318,,83.6,78.3,,241,28.1,294,426,770,142.3,,,51.2,,116.5,216,,168.7,158.3,-66,363,888,660.6,,50,,,402,276,440.4,173.4,264.1,,105,157,122.1,427
2000/12,-195,,,2624,1084,-545.1,,936,5220,708,907,3585,1295,1385,1194,2004,2039,,1420,1912,1764.5,242,465,778.5,-36,622.8,874,,2840,2670,2193,210,803,2011,210.8,,326,302.8,481,,237.9,452,601,,,254,3.7,1163,119.4,1870.9,767.3,724,158.4,-29.3,426,,157,1208,1521,-105.1,-228.7,209.5,49,1198,-1.9,665,753.4,89,149,-1089,129.5,677,140.8,261,415,286.7,113.8,15.2,24.5,2181,334,-76.2,68,,87.8,79.2,,591,29.6,219,744,284,138.7,,,84.4,,161.4,264,,193.8,135.2,-52,372,1077,159.1,,66.5,,,333,121,455.7,207.4,201.5,-406.3,168,5,128.3,54
2001/03,43,,,2451,606,-234.1,,1552,5000,1199,1165,2573,1801,1870,893,1380,2433,,1930,1572,1657.3,863,632,1001.2,-567,582.7,-2693,,3538,1750,485,212,570,1780,304.9,,453,140.1,1237,,235.9,378.3,768,,,41,0.1,1310,97.4,410.1,806.8,556,296.9,-21.7,440,,181,1016,100,-13.8,149.1,221.7,32.2,419.5,62.5,230,-223.6,105,-685,-1369,176.6,538,225.3,495,326,267.9,118.4,20.8,25.5,1855,265,-45.2,114,,82.6,69.8,,287,26.7,240,516,458,97,,,40.1,,215.2,162,,108.7,123.7,55,384,1059,366.6,,64.1,437,,484,186,433.4,288.9,182.8,-48.2,-124,109,143.6,20
2001/06,61,,,65,773,-168.4,,1482,4460,378,-87,3897,2015,2023,-320,1622,2108,,1829,-1021,1815.4,1118,924,35.2,392,854.9,7,,3536,2045,196,223,798,2288,321.9,,202,301.5,840,,-93.3,440.9,577,,,50,-2.4,1053,162.7,562.3,827.7,630,213.4,-32.4,588,,243,930,127,2.8,-274.7,198,46.8,-190.8,66.2,-197,529,144,280,-734,105.3,178,329.1,-213,505,287.2,131.5,25.2,26.2,1315,295,25,223,,94.2,61.3,,320,32.9,227,619,419,102,,,45.9,,136.2,271,,113.2,111.9,389,385,-752,319.3,,65.7,195,,473,180,415.4,255,232.8,10.6,-188,382,155.3,108
2001/09,66,,,1283,-679,-169.9,,1529,3180,449,1164,3281,2006,841,1104,1481,1269,,2072,1875,1948.2,1074,778,-106.8,53,510.6,-268,,3177,1595,106,231,627,2328,329.9,,394,66.7,650,,194.6,545.5,468,,,-308,-6.3,1187,199.2,38.7,570.1,568,216.9,-25.2,565,,267,705,119,5,-44.5,123.7,53.2,-369.6,-58.6,-117,631.4,213,57,-997,190.7,298,250.5,142,503,296.2,-442.6,27,27.4,327,247,26.3,338,,87.7,40.3,,162,41.3,230,364,796,13,,,52.8,,72,205,,109,109.5,-45,243,-692,600.9,,60.6,-280,,444,370,419.4,196.6,199.1,-54.4,-285,179,165.3,100
2001/12,38,,,2283,95,5.1,,1105,2680,-332,1181,3933,1011,2058,1299,2188,-2522,,1957,-2026,1860.9,914,710,-321,438,549.5,660,,3875,2333,504,247,667,2164,163,,381,314.9,100,,185,271.9,497,,,118,6.7,1284,129.3,695.4,575.4,645,185.9,131.6,345,,275,870,89,-1.3,139.2,-130.2,68.4,81.7,46.3,-116,613.6,-1508,-37,-1822,129.7,297,218.4,3915,548,295.3,46.3,28.7,28.3,1866,-430,-6.9,121,,33.1,34.3,,-296,76,246,162,225,-13,,,60.4,,-24.8,167,,245,155.3,-104,331,-5068,162.2,,76.6,-506,,-247,-94,341.7,264.6,191.1,-187.6,-166,139,177.7,65
2002/03,40,,,2738,916,-23.2,,1834,2090,982,1103,2503,-81,2179,1039,1631,725,,1963,-501,1625,-194,856,-89,259,508,729,,4843,1192,936,295,689,2365,340.9,,452,300.9,-1249,,172.5,253.1,524,,,376,-0.8,867,126.3,756,629.2,491,326.6,-3.9,467,,222,848,-335,5.7,43.9,175.7,31.7,10.6,32.1,-38,854.3,218,105,-54244,192.6,618,346,3915,693,289.7,197.8,29.7,31.4,1980,317,115,-52,-4.5,-91,49.8,,329,83.2,229,-102,382,94,,,46.5,,-24.2,80,,120,147.1,86,362,-1094,228.7,,81.1,153,,25,322,439.2,352.3,-23.4,-2827.7,-583,22,188,25
2002/06,32,,,1525,1045,-93.6,,1654,2640,1028,1420,4426,1845,2221,910,2019,407,,1957,-2115,1750.7,1290,1182,-210,364,655.9,772,,4084,56,446,325,875,2610,412.4,,466,383.3,779,,196,497.5,563,,,459,-1.7,477,208.5,823.1,658.5,611,259,19.7,624,,304,797,211,6.3,-13.8,176.4,55.7,114.5,60,95,592.3,339,238,396,130.4,683,467.1,543,901,327,103.9,35.4,34.8,1801,320,68.5,254,-13.1,103.7,54.3,,387,5.3,263,351,474,98,,,189.5,,38.1,200,,236,129.6,147,361,570,335.8,,85.9,-68,,240,272,424.6,287.3,267.5,108.2,-136,-498,213.1,135
