time	서부 텍사스 중질유 가격	브랜트유 가격	천연가스 선물	가솔린 선물	난방유 선물	납 선물	주석 99.85% 선물	SHG 아연 99.995% 선물	LME Index	금 선물	은 선물	밀 선물	옥수수 선물	대두 선물	쌀	설탕 선물	커피 선물	오렌지쥬스 선물	돼지 선물	생우 선물	MSCI 선진국 부동산	MSCI 이머징 부동산	영국 Halifax 주택가격(계절조정)	영국 Nationwide 주택가격(계절조정)	북경 주택가격	천진 주택가격	상해 주택가격	광주 주택가격	심천 주택가격	다우존스 Equity REITs	MSCI World REITs	MSCI AC  World REITs	MSCI Europe REITs	Reuter CRB(EW)곡물지수	Reuter CRB(EW)상품선물지수	Reuter CRB(EW)에너지지수	Reuter CRB(EW)산업지수	Reuter CRB(EW)귀금속지수	RJ CRB 상품선물지수	서부 텍사스 중질유 가격 y-y	브랜트유 가격 y-y	천연가스 선물 y-y	가솔린 선물 y-y	난방유 선물 y-y	납 선물 y-y	주석 99.85% 선물 y-y	SHG 아연 99.995% 선물 y-y	LME Index y-y	금 선물 y-y	은 선물 y-y	밀 선물 y-y	옥수수 선물 y-y	대두 선물 y-y	쌀 y-y	설탕 선물 y-y	커피 선물 y-y	오렌지쥬스 선물 y-y	돼지 선물 y-y	생우 선물 y-y	MSCI 선진국 부동산 y-y	MSCI 이머징 부동산 y-y	영국 Halifax 주택가격(계절조정) y-y	영국 Nationwide 주택가격(계절조정) y-y	북경 주택가격 y-y	천진 주택가격 y-y	상해 주택가격 y-y	광주 주택가격 y-y	심천 주택가격 y-y	다우존스 Equity REITs y-y	MSCI World REITs y-y	MSCI AC  World REITs y-y	MSCI Europe REITs y-y	Reuter CRB(EW)곡물지수 y-y	Reuter CRB(EW)상품선물지수 y-y	Reuter CRB(EW)에너지지수 y-y	Reuter CRB(EW)산업지수 y-y	Reuter CRB(EW)귀금속지수 y-y	RJ CRB 상품선물지수 y-y	천연고무 선물	Dram Exchange 지수
2000-01-01	27.6	26	2.7		1	478	5870	1141	1366.8		5.3	256.3	220	508	5.8	5.4	111.1	79.5	56.8	70.2	108.4	110.5	274.7	152.3										169.7	210.5	225.5	205.8	254.7	165.4	116.8	128.8	49.8		187.1	-2	14	16.9	37.4		1.2	-7	2.6	0.2	-30.4	-23.8	6.9	-23.6	38.3	13.2	13.7	10.5	15.7	13										-0.6	10.9	85.7	12.5	9.2	33.1	74.4	
2000-02-01	30.4	28.1	2.8		0.8	460	5570	1091	1293.1		5	247	215	501.3	5.3	4.7	99.9	85	58.1	69.8	102.7	104	272.5	155.7										169.4	208.8	240	199.5	257.2	170.2	148	158.2	69.6		155.4	-11.4	5.1	3.5	28.7		-10.4	4.1	5.1	11.5	-26.4	-26.7	-2.7	2.7	35.1	7.1	6.7	4.8	14.9	15.1										7.5	14.1	104.6	14.2	4.6	43.2	74	
2000-03-01	26.9	24.8	2.9		0.8	454	5410	1122	1295.7		5	262.3	236	545.5	5.8	5.9	103.7	81.8	64.4	72.2	110.4	98	271.8	158.5										179.3	214.4	229.7	200.1	256.9	170.5	60.5	62.5	46.3		75.3	-11	2.9	11.6	28.5		0.8	-6.4	4.7	12.8	-19.4	-0.2	-5.5	-0.7	53.8	9	8	-8	13.3	16.1										3.9	11.7	50.4	12.4	11.5	26.8	69.5	
2000-04-01	25.7	23.9	3.1		0.7	430	5415	1169	1273.9		5	242.3	223.8	526.5	5.2	5.2	95.3	78.8	76.7	74.3	105.6	91.3	273.4	160.9										172.9	211	223.5	195.2	252.9	168.3	37.9	44.2	39.4		64.6	-21.2	-3.1	7.6	13.3		-8.3	-6.5	4.2	10.5	-33.9	-3.4	-8.2	-3.1	29.8	11.5	-7.3	-26.6	13.8	17.5										4.2	9.7	40.4	1.1	6.6	22	68.6	
2000-05-01	29	28.3	4.4		0.7	430	5370	1138	1255		4.9	274.8	225	517.5	5.5	7.6	93	81.4	68.3	67.8	95.6	82.4	273.3	160.5										173.3	222.3	247.6	208.5	259.8	182.1	72.3	86.3	84.7		87.6	-12.4	0.4	15.4	23.6		1.1	8.9	2.5	12.1	-20	51	-23.5	-9.6	29	5.5	-13.4	-32.9	11.5	15.9										9	19	69.4	20.8	14.2	38.5	64.4	
2000-06-01	32.5	30.6	4.5		0.8	449	5510	1153	1287.7		5	259.5	187.5	477.5	4.7	8.5	84.9	83.8	70.6	67.5	100.8	80.3	271.6	160.4										161.4	223.9	266.3	199.4	271.4	187.8	68.5	74.6	87		75.8	-10.4	4.6	10.3	13		-4.9	3.8	-11.2	6.5	-35.7	51.8	-16.3	-2	57.3	5.8	-11.3	-40.6	9.3	14.9										-0.4	16.9	57	6.2	19.1	33.9	65.8	
2000-07-01	27.4	26.9	3.8		0.8	483	5295	1168	1304.2		5	246.3	180.3	446	5.9	10.4	86.5	75.8	67.3	66.7	104.1	77.6	273.7	160.2										150.3	218.6	243.5	214.3	270.7	179	33.6	39	48.4		49.4	-4	1.1	7.4	13.3		-8	-6.6	-11.3	2.6	-5.7	73.9	-5.1	-1.9	39.3	3.9	-7.6	-34.6	8.4	13.8										-4.2	14.8	35.9	15.7	19.3	26.2	80.2	
2000-08-01	33.1	31.7	4.8		1	476	5410	1180	1335.9		5	250.8	183.8	494.8	6.3	10.6	74.5	73.8	52.9	66.2	109.1	80.2	274.5	160										164.3	227.4	278.6	222.1	271.3	195.2	49.8	48.7	69.3		69.6	-10.5	2.9	-1.3	9.4		-2.9	-5.3	-10.5	3.4	9	54.8	-13.6	-21.1	15.6	-0.9	-1.7	-26.8	7.4	11.1										-3.4	14.1	46.7	20.4	20.8	30.9	69.5	
2000-09-01	30.8	29.8	5.2		0.9	504	5400	1154	1355.1		4.9	265	197.8	490.5	6.3	9.8	83	71.5	58.4	69.1	109.2	71.8	280.4	160.5						136.5				163	226.6	269.6	220.7	266.9	192.6	25.8	26.5	89		50.1	-2.3	0.3	-4.2	7.9		-12.1	-3.9	-5	-0.2	5.7	39.8	0.7	-18.2	19.1	1.2	3.5	-30.1	9.7	10.1										-2.7	10.4	33.7	14.8	6.5	23.9	80.4	
2000-10-01	32.7	30.8	4.5		0.9	503	5260	1077.5	1258.2		4.8	254.8	206	459.8	6.2	9.9	74.4	66.2	51.2	72.5	102.2	62.2	277	162						130				160.3	219.3	269.5	213.5	260.7	190.5	50.3	41.8	51.6		63.9	0.2	-8.5	-6.9	0		-8.1	-0.4	3.3	-2.3	13.3	43.9	-25.7	-28	10	0.4	-2.3	-41.7	5	9.9										0.3	8.8	42.4	12.6	5.8	27.3	86.7	
2000-11-01	33.8	31.9	6.6		1.1	483	5335	1065	1259.5		4.7	256	208.8	506	6.3	9.8	67.2	78.3	54.5	72.2	102.4	63.8	278.6	163.7						131.5				170.9	229.8	271.5	220.6	266.4	199.7	37.5	34.9	186		64.2	-3.2	-8.6	-9.9	-1.6		-9.8	9.9	11.3	6.2	9.2	68.7	-48.4	-19.4	4.4	2.7	-7.1	-39.2	6.5	9.1										8.6	12.6	37.8	17.6	7.4	29.7	87.2	
2000-12-01	26.8	23.9	9.8		0.9	482.5	5195	1043.5	1264.9		4.6	279.5	231.8	499.5	5.9	10.2	65.6	74.6	56.8	80.2	110.9	65.6	277	165.1						139.6				174.9	227.8	236.9	211	265.7	195.9	4.7	-4.8	319.7		31.3	-2.6	-15.2	-15.5	-6.7		-15.3	12.5	13.3	8.2	15.2	66.7	-47.9	-16.1	4.3	15.3	-2	-43.7	3.2	9.2										11.7	11.5	15.1	9.4	4.9	24.2	68.7	
2001-01-01	28.7	26.7	5.7		0.8	509	5235	1048	1289.7		4.8	273	209	459.5	5.8	10	63.8	77.6	54.8	77.6	111.4	74.2	277.9	169.3						139.7				164.8	224.1	245	207.6	265.4	195.6	3.7	2.7	114.4		-17.4	6.5	-10.8	-8.2	-5.6		-9.4	6.5	-5	-9.5	-0.7	83.6	-42.6	-2.4	-3.4	10.5	2.8	-32.8	1.2	11.2										-2.9	6.5	8.6	0.9	4.2	18.2	59.9	
2001-02-01	27.4	25.6	5.2		0.7	515	5160	1033	1244.6		4.5	265	214.5	453.5	6	9.3	63.9	72.3	62.8	82.4	113.5	73.4	282.3	168.5						136.5				166	221.8	242.8	191.3	261.3	193.5	-10	-9	89.6		-11.1	12	-7.4	-5.3	-3.7		-11.4	7.3	-0.2	-9.5	13.5	99.6	-36	-14.9	8.1	18.1	10.4	-29.4	3.6	8.2										-2	6.2	1.2	-4.1	1.6	13.7	57.8	
