time,Texas_oil,Brent_oil,natural_gas,gasoline,heating_oil
2000/01/01,27.6,26,2.7,,1
2000/02/01,30.4,28.1,2.8,,0.8
2000/03/01,26.9,24.8,2.9,,0.8
2000/04/01,25.7,23.9,3.1,,0.7
2000/05/01,29,28.3,4.4,,0.7
2000/06/01,32.5,30.6,4.5,,0.8
2000/07/01,27.4,26.9,3.8,,0.8
2000/08/01,33.1,31.7,4.8,,1
2000/09/01,30.8,29.8,5.2,,0.9
2000/10/01,32.7,30.8,4.5,,0.9
2000/11/01,33.8,31.9,6.6,,1.1
2000/12/01,26.8,23.9,9.8,,0.9
2001/01/01,28.7,26.7,5.7,,0.8
2001/02/01,27.4,25.6,5.2,,0.7
2001/03/01,26.3,24.7,5,,0.8
2001/04/01,28.5,27.9,4.7,,0.7
2001/05/01,28.4,29.3,3.9,,0.8
2001/06/01,26.3,26.1,3.1,,0.7
2001/07/01,26.4,24.7,3.3,,0.7
2001/08/01,27.2,26.4,2.4,,0.8
2001/09/01,23.4,23.3,2.2,,0.7
2001/10/01,21.2,20.4,3.3,,0.6
2001/11/01,19.4,19.1,2.7,,0.5
2001/12/01,19.8,19.9,2.6,,0.6
2002/01/01,19.5,19.2,2.1,,0.5
2002/02/01,21.7,21.3,2.4,,0.6
2002/03/01,26.3,25.9,3.3,,0.7
2002/04/01,27.3,26.5,3.8,,0.7
2002/05/01,25.3,24.5,3.2,,0.6
2002/06/01,26.9,25.6,3.2,,0.7
2002/07/01,27,25.4,3,,0.7
2002/08/01,29,27.5,3.3,,0.7
2002/09/01,30.5,28.8,4.1,,0.8
2002/10/01,27.2,25.7,4.2,,0.7
2002/11/01,26.9,25.2,4.2,,0.8
2002/12/01,31.2,28.7,4.8,,0.9
2003/01/01,33.5,31.1,5.6,,1
2003/02/01,36.6,32.8,8.1,,1.3
2003/03/01,31,27.2,5.1,,0.8
2003/04/01,25.8,23.7,5.4,,0.8
2003/05/01,29.6,26.3,6.3,,0.8
2003/06/01,30.2,28.3,5.4,,0.8
2003/07/01,30.5,28.4,4.7,,0.8
2003/08/01,31.6,29.5,4.7,,0.8
2003/09/01,29.2,27.6,4.8,,0.8
2003/10/01,29.1,27.7,4.9,,0.8
2003/11/01,30.4,28.5,4.9,,0.8
2003/12/01,32.5,30.2,6.2,,0.9
2004/01/01,33.1,29.2,5.4,,0.9
2004/02/01,36.2,32.2,5.4,,1
2004/03/01,35.8,31.5,5.9,,0.9
2004/04/01,37.4,34.5,5.9,,1
2004/05/01,39.9,36.6,6.4,,1
2004/06/01,37.1,34.5,6.2,,1
2004/07/01,43.8,40,6.1,,1.2
2004/08/01,42.1,39.6,5.1,,1.1
2004/09/01,49.6,46.4,6.8,,1.4
2004/10/01,51.8,49,8.7,,1.4
2004/11/01,49.1,45.5,7.6,,1.4
