time,AAPL UW Equity,GOOGL UW Equity,GOOG UW Equity,MSFT UW Equity,BRK/B US Equity,AMZN UW Equity,FB UW Equity,JNJ UN Equity,XOM UN Equity,JPM UN Equity,WFC UN Equity,GE UN Equity,T UN Equity,BAC UN Equity,PG UN Equity,WMT UN Equity,CVX UN Equity,V UN Equity,PFE UN Equity,VZ UN Equity,MRK UN Equity,KO UN Equity,HD UN Equity,CMCSA UW Equity,DIS UN Equity,ORCL UN Equity,CSCO UW Equity,PM UN Equity,C UN Equity,IBM UN Equity,INTC UW Equity,UNH UN Equity,PEP UN Equity,MO UN Equity,AMGN UW Equity,MA UN Equity,MMM UN Equity,MDT UN Equity,BA UN Equity,KHC UW Equity,SLB UN Equity,MCD UN Equity,GS UN Equity,ABBV UN Equity,CHTR UW Equity,HON UN Equity,CELG UW Equity,BMY UN Equity,NKE UN Equity,USB UN Equity,LLY UN Equity,UPS UN Equity,WBA UW Equity,GILD UW Equity,UTX UN Equity,AVGO UW Equity,UNP UN Equity,MS UN Equity,RAI UN Equity,PCLN UW Equity,QCOM UW Equity,CVS UN Equity,SBUX UW Equity,ACN UN Equity,AGN UN Equity,TXN UW Equity,ABT UN Equity,LMT UN Equity,DOW UN Equity,TWX UN Equity,COST UW Equity,AXP UN Equity,LOW UN Equity,DD UN Equity,MDLZ UW Equity,CL UN Equity,CB UN Equity,BIIB UW Equity,BLK UN Equity,AIG UN Equity,PNC UN Equity,TMO UN Equity,NEE UN Equity,NFLX UW Equity,DHR UN Equity,ADBE UW Equity,CRM UN Equity,MET UN Equity,NVDA UW Equity,GD UN Equity,COP UN Equity,DUK UN Equity,SCHW UN Equity,FOXA UW Equity,FOX UW Equity,SPG UN Equity,GM UN Equity,EOG UN Equity,CAT UN Equity,PYPL UW Equity,FDX UN Equity,TJX UN Equity,MON UN Equity,BK UN Equity,F UN Equity,SO UN Equity,AMT UN Equity,SYK UN Equity,PRU UN Equity,KMI UN Equity,OXY UN Equity,D UN Equity,KMB UN Equity,ADP UW Equity,ITW UN Equity,AET UN Equity,RTN UN Equity,HAL UN Equity,COF UN Equity,CSX UW Equity
2000/01,3138.5452,,,1274.8774,17.5395,262.2202,,130.468,224.5798,145.10355,184.131,344.1492,148.8713,251.4202,157.7828,107.5069,65.8078,,184.9669,66.2776,108.8464,189.5836,103.3782,22.7646,195.1298,,986.3266,,25.816767,141.1031,1406.962,166.3216,82.3705,161.7349,249.6369,,62.2596,102.6633,72.6296,,115.6228,92.6164,17.8021,,,69.7755,158.5512,102.3306,127.5656,46.8916,57.7973,19.6567,,808.8928,72.3138,,68.2832,81.4875,54.3712,15.504753,1098.382992,106.3102,600.3464,,11.3401,,104.994,37.1925,69.1911,164.74435,95.1618,125.2515,129.8452,55.1315,,57.6436,23.0261,85.2561,0.9227,4.291515,20.7201,11.9755,21.5774,,37.5736,154.802,,,123.5364,37.647,26.4426,11.063799,114.0114,,,4.56753,,68.5972,77.482,,31.9587,158.1268,,36.858732,60.4083,24.0688,16.1059,35.2984,,,41.0824,53.371,29.8188,,37.4568,,51.0323,126.3832,22.4596,
2000/02,1829.9456,,,1334.4962,28.375,207.4603,,157.2648,193.769,120.216,161.3784,363.5829,146.766,207.9182,101.045,175.1279,77.004,,156.9653,60.0355,111.5695,157.997,96.8516,10.5528,121.104,,1245.9798,,29.169539,109.6904,965.3084,202.0144,71.7425,247.3778,197.0336,,61.4504,76.6637,60.9747,,122.2844,96.925,17.1983,,,52.1376,317.9664,74.3969,322.1744,46.5183,49.2705,22.8786,,829.1136,84.7882,,71.5708,58.4628,56.2904,7.927768,680.6346,104.49,400.636,,9.3346,,69.7837,28.6465,59.1021,113.016289,80.4495,150.3759,134.922,57.9508,,78.59,22.6455,78.8733,0.6197,5.88258,13.6259,9.0453,23.067,,30.0268,197.752,,,229.0272,35.8806,29.941,11.872199,104.41185,,,5.329291,,64.244,78.533,,23.4017,120.0804,,33.746267,55.7717,27.5345,17.6792,31.9044,,,56.7214,39.6536,32.3152,,27.5902,,22.3148,100.0856,26.1736,
2000/03,2174.8048,,,2028.1912,26.608,156.5847,,232.447,245.1904,148.2999,210.6198,461.9652,143.0474,246.8832,427.2078,179.0798,89.7434,,232.1283,80.0618,154.7725,239.2078,112.6714,23.8947,152.1028,,1209.091304,,31.919845,156.8907,1131.3902,146.0584,89.8814,264.7171,353.74,,78.3822,82.7378,80.9654,,172.3144,90.334,32.6399,,,65.5601,276.6432,181.0908,273.4008,54.3845,63.7376,19.6632,,554.2432,81.3886,,83.452,87.9794,95.5216,20.437021,743.1158,127.2456,400.1344,,11.731,,78.4779,44.1783,79.4064,121.736821,128.3746,171.999,153.3688,67.5105,,126.365,28.9787,105.6054,0.7518,6.686213,18.2366,29.0412,39.6886,,43.808,254.782,,,438.8376,41.2788,35.9866,18.194398,148.37715,,,3.664497,,84.4044,85.5338,,29.6329,231.2428,,48.049626,83.6708,32.437,20.2508,40.032,,,60.6206,33.3918,54.3699,,34.1442,,31.7628,161.4654,27.1004,
2000/04,2165.688,,,2260.063192,12.4515,162.0182,,145.5954,177.3602,135.4314,168.9022,333.8937,111.0937,188.0656,200.9722,110.6022,56.7542,,219.6057,56.5421,105.0929,198.3022,87.3334,13.6752,92.534,,1286.420896,,25.09554,138.2295,1209.5996,127.54,58.6038,189.36,215.308,,62.6364,57.6284,63.8134,,108.8148,75.87971,38.1999,,,40.9589,256.0048,188.2628,160.324,53.7214,62.1126,12.768,,430.5984,59.9014,,63.61,84.6507,73.6168,11.411802,736.2616,77.0522,498.628,,12.7255,,60.9193,38.9993,62.0607,89.711624,96.7907,138.0255,142.27,65.9638,,81.66,18.0803,99.1035,0.4497,4.542278,15.8316,9.8724,27.23,,24.4704,203.8712,,164.0444,162.0468,37.6346,24.9622,14.167665,126.6312,,,6.773014,,71.0628,71.0028,,21.697,155.1248,,37.764774,77.4287,29.8913,10.9646,19.8796,,,38.3496,25.348,30.2821,,23.288,,22.9709,107.2482,18.93,
2000/05,2451.9656,,,1344.4316,9.739,130.69,,104.9304,167.3656,140.82915,130.2786,241.1637,91.1651,211.3346,106.4334,117.3328,54.4762,,179.1625,67.815,82.4046,195.3914,110.5823,18.4236,92.4449,,1306.327816,,21.460555,105.3079,1145.9144,233.2216,74.8236,211.1185,147.9828,,46.7512,57.9354,54.8646,,121.4536,68.6199,38.9259,,,32.3077,201.6072,86.2822,132.5976,41.6568,56.2397,14.1731,,415.6288,56.5856,,47.3568,75.2706,76.1168,9.591335,939.4552,74.7124,396.3896,,18.06,,60.7261,24.7645,52.9623,60.008527,318.207704,87.8251,136.994,46.3364,,55.812,24.2169,56.6646,0.7234,4.229393,12.9403,9.4826,26.293,,30.2648,177.6884,,55.1848,217.4256,26.0852,42.2724,16.405465,100.5866,,,6.267198,,128.35,47.9264,,22.3138,125.9896,,33.98957,58.2578,25.5303,13.772,20.2208,,,33.9972,23.377,24.4632,,20.877,,18.9377,121.4436,16.6954,
2000/06,2026.3054,,,1466.9012,10.5285,203.1409,,132.0022,202.5954,123.70515,154.6922,211.0278,108.0187,232.704,198.2514,105.1258,64.7086,,208.7146,74.6019,86.7293,185.7044,102.1226,8.1585,74.3445,,773.7386,,20.789888,115.163,851.6674,181.6056,82.4603,175.8653,141.9618,,53.4658,63.5895,57.7348,,107.8812,94.7866,32.5462,,,121.4804,192.9496,98.0457,128.2928,40.9622,94.8524,16.1244,,403.9936,62.5514,,66.2124,62.5516,95.9112,9.360752,1135.0764,84.5548,659.7264,,12.1368,,45.9605,20.7609,49.9521,64.182294,160.4365,66.0912,173.826,53.0463,,61.7338,16.4332,101.9025,2.3447,3.405255,26.4051,8.4527,29.8756,,29.0004,177.8464,,45.2775,331.8222,25.1538,33.39,14.161799,74.3457,,,8.34827,,71.3284,56.1714,,18.2244,93.7832,,34.950706,57.0291,34.5277,11.2038,21.3298,,,34.133,32.5746,35.9029,,26.169,,15.1013,102.9018,22.0477,
2000/07,1436.694,,,1234.190208,10.516,198.5246,,120.3948,170.757,72.5786,101.5704,201.6254,76.0326,150.7528,137.4306,90.1793,59.6742,,224.1337,111.864,108.3423,139.9324,74.7016,11.2113,71.8016,,736.3721,,16.499236,119.6987,829.1417,161.688,67.0289,124.951,161.4317,,43.2772,40.948,69.9,,86.957,70.0312,26.5244,,,87.5843,160.3864,97.8298,106.7184,33.8635,58.1422,11.2541,,298.0448,48.7056,,66.2744,51.3805,59.8112,13.710653,625.8914,53.5304,336.964,,15.2618,,50.1582,18.5233,45.524,67.135127,106.1475,59.8031,123.1132,46.364,,75.9044,20.4528,60.9972,1.3788,3.3143,13.3854,14.9867,27.4718,,27.9804,122.2016,,24.6492,182.0232,18.3474,29.5004,11.430866,61.1866,,,4.972916,,96.2292,61.129,,14.4655,135.9192,,30.143517,49.3834,20.2214,13.5909,20.2834,,,36.6078,22.4264,24.6301,,23.3082,,13.6707,111.9694,18.0044,
2000/08,1409.0216,,,1219.4,12.1716,144.4657,,89.7894,160.6232,118.1818,121.2004,203.3589,112.327,174.252,126.0966,149.4269,57.1192,,179.1927,169.9648,68.9188,145.7916,116.3178,10.8642,85.4806,,943.6105,,17.593863,100.5555,688.1124,135.7248,58.7637,146.0548,132.8652,,42.7052,60.4478,79.4487,,116.69,68.9189,48.1609,,,79.4745,137.2032,90.1036,173.2064,37.0998,99.7868,13.0693,,426.9824,50.8016,,48.3216,55.708,74.2256,11.871986,406.2974,94.889,397.1048,,19.128,,66.0207,28.8429,58.2411,58.244928,110.1551,59.9343,152.7936,45.6412,,58.5718,19.4076,47.6658,0.5224,2.62867,16.5789,16.129,45.778,,27.7272,94.0812,,45.18,152.0508,24.2194,42.3098,18.682998,61.687,,,9.615115,,79.624,59.1006,,11.3634,163.0708,,31.672013,132.1732,35.0118,20.5001,12.649,,,37.5346,26.4644,27.3289,,19.8478,,22.2368,119.132,19.7013,
2000/09,3630.562544,,,1425.4628,11.0515,133.778,,86.131,233.0272,202.0706,124.8372,197.2751,100.3222,154.0418,153.6654,118.6988,68.7006,,200.3175,69.5493,72.5895,172.1682,84.9649,8.4162,59.3443,,1099.076988,,20.88176,92.5424,1468.440512,135.6224,46.5926,123.5881,150.3919,,71.271,53.5706,98.2887,,115.2212,101.4998,34.2271,,,59.1572,216.9216,92.3275,205.4016,36.531,55.8182,22.9049,,454.0256,91.1206,,59.2236,72.6648,35.0672,20.718237,749.2332,78.1028,216.4784,,34.001,,56.6027,32.8282,61.6582,46.598629,87.2229,51.6853,160.0392,73.5276,,145.6178,19.6225,53.0577,0.9349,2.986755,19.4675,15.3578,38.3586,,33.0536,189.142,,29.312,146.7204,39.9612,44.4306,25.156931,61.9818,,,5.864849,,70.6252,63.8412,,17.6361,96.668,,30.769651,129.6731,48.323,19.5198,14.326,,,38.338,28.0788,41.2146,,32.3468,,17.9215,95.9158,24.1827,
2000/10,5476.5942,,,2469.5412,12.4385,246.7354,,126.961,238.5724,215.819,149.3058,349.7682,150.6351,211.3558,159.0274,180.9598,98.5386,,230.6588,97.054,124.7473,160.0308,206.0538,12.0882,97.0773,,1464.002692,,27.12225,183.9864,1528.4822,227.6112,77.6655,144.0566,203.7601,,73.5498,62.5161,88.0445,,107.613,73.168,51.2694,,,172.552,185.06,87.5841,166.7816,107.531,57.9498,22.9549,,672.1472,115.4942,,61.1016,110.7794,49.844,19.353304,673.536,94.6104,315.9448,,14.7652,,83.95,26.8177,74.2542,93.425657,130.9576,91.2282,210.5744,62.3781,,85.148,24.9243,87.5205,1.7139,3.901275,24.4729,19.9964,38.0466,,37.366,221.1266,,31.5795,221.0454,58.3998,33.8416,23.394398,77.5424,,,4.375153,,99.9872,69.0278,,17.257,131.6996,39.053,43.581967,82.0045,34.5246,20.1026,20.6774,,,42.9132,34.385,45.6341,,52.9014,,24.3371,201.8216,36.6094,
